channel_name,channel_id,real_state,lat_long,transcript_count,wordcount,speech_dur
"Story County, Iowa",UCTLajnmHYlpovDrzvgi0hMw,Iowa,"(42.1040438, -93.5003454)",97,420122,73:12:29.68
Louisiana Gov,UCu6XLJo8g_k5IZX6sjpV14A,Louisiana,"(30.4497659, -91.1088991)",146,418533,47:39:27.35
City of Park City,UCKWmOfUwmKPzAyvzvEvhs5A,Kansas,"(37.8000123, -97.31837619999999)",45,418142,47:17:9.97
warren-ma.info,UCSemWSWv9vohWfvvyHaYAlA,Massachusetts,warren-ma.info,60,416651,45:57:52.18
Town of Rising Sun,UCVhXWOvvPRbCJ24IyH2tZyg,Maryland,"(39.6978871, -76.06272659999999)",76,416255,49:18:3.37
Falls Township PA,UCXkR2V1sBOCmVB3S5aHEjTA,Delaware,"(40.1740577, -74.8530595)",46,414368,45:37:9.46
City of Republic,UCmvA973eokxbVlHVODl-1_A,Missouri,"(37.1200526, -93.4801942)",65,413258,48:12:31.04
Delaware County Government,UCGw1znI7YHoxXgqqMJZnZwQ,Indiana,"(40.1942895, -85.3873354)",84,411872,54:50:8.57
"City of Brooklyn, Ohio",UCRRKkTWR8peOgYgo4JvhxWA,Ohio,"(41.4301349, -81.7512107)",56,401440,44:00:55.8
HardinCountyIA,UCldvOvGdfCT76xAGFpJ5u7Q,Iowa,"(42.4285425, -93.17796589999999)",117,401232,56:22:43.57
City of Madison Wisconsin,UC3IAPMgYfaBEJ5eeqbvWkzQ,Wisconsin,"(43.0730517, -89.4012302)",118,396484,47:55:21.01
cityofhayward,UC-t5eCY7p3nbBalxbMP9vFQ,California,"(37.6708446, -122.0857338)",80,394984,42:55:46.81
"City of Cloverdale, Cloverdale, CA",UCDSDDT0okjoOrRhJaetPRbQ,California,"(38.8054624, -123.0172227)",27,385578,42:57:23.75
The Municipal Art Society of New York,UC85K3UNE3_ZnDaDJUOWwedw,New York,"(40.7589167, -73.9752018)",135,385487,41:03:40.61
Saint Francis MN,UCC44uGV-mS_2SCvUhBy_scA,Minnesota,"(45.3974847, -93.38792199999999)",58,383199,48:23:5.05
"City of Shenandoah, Texas",UC5-9qrdkO9wip4I0vyCXq9g,Texas,"(30.1802151, -95.45577259999999)",29,373362,45:05:26.59
City of Cordova Alaska,UC5pGOg0PI8_MuUIJScsw6Gw,Alaska,"(60.5424087, -145.7525414)",27,367791,48:25:9.94
Essex County New York,UCUTiUCto7MsxIbqK5M1rMrA,New Jersey,"(40.8398218, -74.2765366)",107,365240,54:14:53.63
"City of Anderson, Indiana",UCMDJQTb1x8xHky-Jxmu8PIA,Indiana,"(40.1053196, -85.6802541)",153,361160,39:49:25.11
Governor Asa Hutchinson,UCLJcNdgp2PMEmiqJEoYzqwQ,Arkansas,"(34.7469468, -92.2889342)",198,359920,43:08:30.13
Amherst Council Clerk,UCVbdl2V5DTld5jQ-TSnz5cw,Ohio,"(41.39825099999999, -82.227454)",91,355034,45:58:8.99
City of Aberdeen,UC2WDoaiGN9nFc1Zb4pyfpyw,South Dakota,"(45.4646985, -98.4864829)",70,350540,39:45:18.69
City Of Cortez Council Meetings,UCuJXUzV7IZDST9p2BLMGA7g,Colorado,"(37.3503413, -108.5695371)",44,345298,42:55:47.98
City of Oroville,UCAoRW34swYl85UBfYqT7IbQ,California,"(39.5137752, -121.556359)",37,345142,50:06:37.47
"Winnebago County, Iowa",UCRYede2wUgnmNZpYlSRCDDg,Iowa,"(43.3481922, -93.66232389999999)",43,341808,57:40:55.74
McDowell County Government - North Carolina,UC0mTfn8VlbzCAPoS4ypHSbQ,North Carolina,"(35.6839474, -82.0082269)",32,339813,38:30:28.72
Columbus Municipal School District - MS,UC5aQEWlv0bv0RfURb9dIEeA,Mississippi,"(33.5403856, -88.4210006)",38,335470,37:55:53.67
City of Maricopa,UCcGYzD73sGc7P9gH6kZJC3A,Arizona,"(33.0581063, -112.0476423)",115,331866,35:43:14.83
"Cedar City, Utah - City Council",UCvv1r4z0JQJjAIgeLmMGmbA,Utah,"(37.6777847, -113.0610041)",34,331230,37:22:45.2
"NEK-TV Newport, VT",UCKV7WVHOpRCBCwKh6P_O7iw,Vermont,"(44.943332, -72.192562)",32,328207,39:57:43.96
CityofAikenSC,UCHtMErIZ0_lu5v3kJAzPitg,South Carolina,"(33.5604168, -81.7195533)",54,326348,41:23:28.44
Town of Wiggins,UCLfzJYfsilF0D3dQGKMpGbw,Colorado,"(40.2305363, -104.0727278)",20,322000,38:43:50.98
City of Charleston SC,UCxDws_o-1voXBNOAZ17gZxw,South Carolina,"(32.7764749, -79.93105120000001)",32,321594,36:57:37.36
"Erie County, Pennsylvania - Government",UCDEhxGyYjgZkYrLb-NGeq2g,Pennsylvania,"(42.1291683, -80.0879985)",72,318927,39:26:56.66
CityOfNormanOK,UCRUefgW2qlHl6uJwIS7KQXQ,Oklahoma,"(35.2225668, -97.4394777)",71,313074,34:34:40.86
City of Livingston CA,UCB_ZmQZIHELh-ECEPZ2VwZg,California,"(37.3868826, -120.7235329)",24,310726,41:47:33.95
Town of Emmitsburg,UC17xHnkC_VLkirblkEBdIDQ,Maryland,"(39.7045417, -77.32693069999999)",54,310096,34:37:45.09
FaithCity MD,UC3cUrijYglWHJ81RrZ_jNUw,Maryland,"(38.8354067, -76.8628623)",30,306038,34:34:54.35
"City of Greenville, NC",UC3Ud91UVasbpi8wPVDlcCRA,North Carolina,"(35.612661, -77.3663538)",378,304219,29:03:20.37
Council Meetings - City of Rochester Hills,UCRzGsdrhFdimra0g1Gw4HqA,Michigan,"(42.6833372, -83.1372157)",17,298263,31:35:8.68
"City of Liberty Lake, WA",UCP0FovX6g8NG4J5wKDLt62A,Washington,"(47.6743428, -117.1124241)",26,281932,43:23:42.64
FridleyMunicipalTV,UCgguNa9ShDCIeSXqFZbzphg,Minnesota,"(45.084944, -93.26286089999999)",82,280383,28:58:49.74
KingCountyTV,UCmsDL2CRIMtE1I6-eZqEx4g,Washington,"(47.5480339, -121.9836029)",73,276520,30:27:32.05
Newburgh Maine,UCiANGUnQ2sSa7SaV_sSW2Aw,Maine,"(44.71736749999999, -69.0003898)",41,276102,38:11:22.79
Surprise TV,UChvREiqh2Lc3HoTGqcPb3vg,Arizona,"(33.6297375, -112.3654922)",189,274457,29:06:29.04
The City of Frederick,UCTig2g9-KiZFgNg8kYxeKXA,Maryland,"(39.41426879999999, -77.4105409)",155,267098,30:45:9.85
Putnam County TN Government,UC2D4OD-kL2jUOtpY0KHktFA,Tennessee,"(36.1494165, -85.5229902)",56,259858,35:02:11.24
Vidalia Louisiana,UCa6cbVaGERmEA6WGt33z-dg,Louisiana,"(31.5654441, -91.4259495)",79,259534,36:17:34.65
Port Orange Government Television,UCTYNmc7tZVRrB2NH5-Oj7hg,Florida,"(29.1265036, -81.0207434)",34,259387,29:58:55.62
"Town of Chester, NY",UCcfUBNLL64j3sKxfuxTtcog,New York,"(41.3625937, -74.27126129999999)",32,255198,32:27:50.39
Franklin Tennessee,UCaDJdA9NLVQOuXVbx1JV0cw,Tennessee,"(35.9250637, -86.8688899)",35,255035,31:44:7.28
TarrantCountyTX,UCreZ2-bXXetuRiKZAtXcNNA,Texas,"(32.7732044, -97.35165579999999)",38,254963,29:39:31.34
"City of Whitehall, Ohio",UCvjez8n5YvwKfEZ-2RX9fkg,Ohio,"(39.9667308, -82.8854559)",52,254594,40:34:0.33
MtPleasantMI,UCbfjqB0HPkc6KHaQa4_zVgg,Michigan,"(43.59780749999999, -84.7675139)",50,253593,27:52:42.28
"City of Little Falls, MN",UCDJcQU_2dOXIixQEJzQ7_aQ,Minnesota,"(45.9805556, -94.36944439999999)",38,252165,28:02:32.81
Bay Saint Louis City Council,UCfZVth2EfSBM4lVvXg_H-kw,Mississippi,"(30.316913, -89.345498)",25,252062,34:49:27.99
"Exeter, Rhode Island",UC_0OoUlSPYRpwmRMpQ8-sCw,Rhode Island,"(41.5750676, -71.5351476)",19,246655,37:30:48.83
City of Lakewood,UC6kjNiFzrc9PwiTF_zTTaRQ,Washington,"(47.1717649, -122.518458)",16,245433,33:14:39.86
City of Mesa,UCxhnbjW5_gD9I4gk_5t6-Aw,Arizona,"(33.4151843, -111.8314724)",193,244877,23:47:13.15
City of West Melbourne,UC0rw9-ZqduSTcs6uBNU7_ag,Florida,"(28.0716832, -80.65338779999999)",17,243141,26:01:46.76
City Of Durant Council Chambers,UCQO-_Crp48w7jN-mZ0oGGVQ,Colorado,"(33.992638, -96.37766300000001)",20,242195,32:29:52.5
"City of Edwardsville, KS - Government",UC2M-zO1Jcwm4YOjbxFhdNAA,Kansas,"(39.0562158, -94.82191519999999)",32,242186,32:51:13.62
City of Woodbury MN,UCDsJCsK3YLLVgRbg34kABMA,Minnesota,"(44.9238552, -92.9593797)",313,241660,24:03:29.53
"City of Brighton, CO (KBRI-8)",UC7fxHV_KyittFb3M9jDbBGA,Colorado,"(39.9852617, -104.8205283)",86,240920,27:19:34.85
The Town of Lexington,UCsor0AoZVy2UvAW52JOlbxA,South Carolina,"(33.9815369, -81.2362107)",52,235693,27:28:27.67
City of Grand Marais,UC8OF_XBXW9WJuCZEIzxSlIQ,Minnesota,"(47.7504469, -90.3342727)",18,234495,25:27:11.34
"City of Bonner Springs, Kansas",UCyUl-B3mt386DdFgJqYfFyg,Kansas,"(39.059726, -94.8835754)",35,223988,29:52:47.69
"City of Newark, Delaware",UCkUa0_pCSXUlTQaeXLd73eA,Delaware,"(39.6837226, -75.74965720000002)",103,220635,22:42:36.21
"City of Las Vegas, New Mexico",UCNGDVGRRAL0qVevel5JYeRw,New Mexico,"(35.5942137, -105.2227978)",27,219943,29:06:1.38
City of Freeport ILL,UCPtSul497oxrsjhrn_qhiMw,Illinois,"(42.2966861, -89.6212271)",26,215039,25:03:1.78
City of Haysville Kansas,UC3XUt81Il2JWijJiV6yqnNw,Kansas,"(37.5644615, -97.3522675)",59,214639,27:01:29.01
"City of Cocoa, Florida",UCbWJK7XQyPVBmp15Fwoa4jA,Florida,"(28.3861159, -80.7419984)",49,209097,30:02:59.87
Helena Civic Television,UC9AloSLo5HpsRCpfnFo7fcQ,Montana,"(46.5891452, -112.0391057)",56,200768,24:37:47.98
Clean Water Initiative,UCcE3IVErioHtVMqAeBLVDZQ,Vermont,"(44.5588028, -72.57784149999999)",32,200519,22:22:11.03
eXplore Xenia,UCUFFzFWxDl_DMOe9J7QzmgA,Ohio,"(39.686438, -83.929177)",37,199262,21:51:39.8
"City of Franklin, VA",UCMmXa_L4o0ZgMpRDCZs1syA,Virginia,"(36.6776507, -76.9224608)",17,198780,24:47:36.03
"City of Crescent City, California",UCc8LIkDxscuciAFNB9yEEMA,California,"(41.7557501, -124.2025913)",25,197156,21:50:2.43
Town of Rome Wisconsin,UC4c0rhMyFqU3QhLrIvqmyBA,Wisconsin,"(44.1988545, -89.820273)",18,194142,21:51:22.59
City of Sherwood Arkansas,UCF1JLn4XfEMB_403o-gj7PQ,Arkansas,"(34.8150907, -92.2243153)",40,193454,26:56:54.73
Texas Counties,UCypcad6NCCz1KNAkygXmNzA,Texas,Texas Counties,150,190963,19:26:1.13
FultonGovernmentTV,UCYH7E0jH6HxE-3KTRluH8SQ,Georgia,"(33.751422, -84.39144329999999)",66,190452,21:25:2.27
"City of Midland, Michigan",UCjShycow9Ksl3jU9N8lVfPQ,Michigan,"(43.6155825, -84.2472116)",324,189793,21:36:33.64
"Daniel, Utah Town Meetings",UCNl9vzo3Afm_qhRoXdDrqPg,Utah,"(40.4720026, -111.4314629)",34,181227,24:20:30.0
Westmoreland City Council Meetings,UCgjmBbalmzDjqkZdJbS0AgQ,Tennessee,"(36.561532, -86.24781000000002)",32,179083,25:03:44.48
"City of Calhoun, GA",UCFPzDB48ZQ6IAF_z0NQBPKQ,Georgia,"(34.502587, -84.9510542)",27,178795,23:06:35.1
TOMP Council Meetings,UCNhfTlBOB2AbKtELKzY7_yQ,South Carolina,"(34.7589326, -83.0731265)",13,173836,24:38:17.84
Sunbury Videos,UCP6obhaxx_cy4JKoPwFLQ5g,Pennsylvania,"(40.8618561, -76.7779541)",50,172840,20:43:30.47
CityOfThousandOaks,UCsSwux-Xmetz846gSsmptDw,California,"(34.1705609, -118.8375937)",89,168839,18:30:26.45
mohavecountyus,UCxpmqlXxz7UYF9ol80H7dEQ,Arizona,"(35.2143346, -113.7632828)",17,168670,20:10:49.15
City of Mission Tx,UCha07JnlG0muI97kb9u0Iig,Texas,"(26.2159066, -98.32529319999999)",95,167161,19:52:34.58
"Ada County, Idaho",UCmREyet73vxhBFCffWClEKA,Idaho,"(43.478767, -116.2420304)",19,162187,19:29:51.15
Town of Orangetown,UCiO7szhtu7X___gRqoFkuOg,New York,"(41.0555461, -73.94773839999999)",24,162008,19:59:12.61
"City of Centerville, Ohio",UCXLOLKzXqOtD9BSlPGrDBHQ,Ohio,"(39.6283928, -84.15938179999999)",68,157863,17:14:31.1
City of San Antonio,UCc1cljyxKwZYVnDapMi26eQ,Texas,"(29.4241219, -98.49362819999999)",209,157428,17:41:26.39
CSBTV20,UC0MKBRS7teISJ5iGufoc_Iw,California,"(36.778261, -119.4179324)",7,154618,17:21:40.07
Millville Cable Access,UCUmDFf-Vh4YhDiMqAnaMsug,Massachusetts,"(42.0278756, -71.5808973)",13,154431,18:47:14.28
"City of Florence, Kentucky",UCKAoTbCHbQPSIf80S5wYhlA,Kentucky,"(38.9989499, -84.62661109999999)",32,153444,17:36:14.25
SCCGov Chambers,UCF4DoI6Shq5PtVGaQRrAerw,California,"(37.3336581, -121.8907041)",11,152787,18:03:50.7
Pembroke Pines Media,UC5C4-X_lLc_8dZ3pJzYRkZA,Florida,"(26.0274521, -80.34878549999999)",93,152298,18:16:39.44
CityofGulfport FL,UCMcHz3QnFbjgo_QVvyJYDMQ,Florida,"(27.7483613, -82.7034334)",114,148011,18:54:25.44
"City of Cortland, Ohio",UC4Mu0kFfL3Cei3ZOZc5Zyeg,Ohio,"(41.3303342, -80.7253575)",45,143532,19:30:55.24
"City of Arkansas City, Kansas",UCvQiHdrfXJc-sH4GxsFdx_A,Arkansas,"(37.0619736, -97.0383712)",65,142952,27:38:50.59
Minneapolis KS City Council,UCA6z63vmfvbdwJ2AYtXy05Q,Kansas,"(39.1231551, -97.7056365)",30,136154,28:44:16.8
"Boone County, IL Government",UCHPpw58YhZQALqaKm1inNpA,Illinois,"(42.2539351, -88.82470459999999)",11,134912,17:41:40.33
Piedmont West Virginia Info Network,UCAzc8Mv9NyzjOG2xD1KZFEg,West Virginia,"(39.48243790000001, -79.0482272)",36,133235,22:55:21.72
Westville Indiana,UCLcCLBCsqiXSuVu_jJfGKaw,Indiana,"(41.54142969999999, -86.9005825)",24,132433,17:36:7.47
"City of Dearborn Heights, MI",UCRdsv07DxBTF5ZWgiqXPcKw,Michigan,"(42.3369816, -83.27326269999999)",17,131636,14:38:33.34
City of Broken Arrow,UCAOrvaXvUHojbjsEn72Y-Dw,Oklahoma,"(36.060949, -95.7974526)",57,130978,14:43:47.57
Official City of Stonecrest Georgia,UCp3rYzHzhZvd9Y7Ruf1O6kg,Georgia,"(33.6904766, -84.0838805)",11,127227,15:28:0.42
City of Marion Ohio,UCyKE64OZ0-ACD-5N6oaC-Yw,Ohio,"(40.5886699, -83.1285242)",22,126729,15:15:27.46
"City of Dover, Delaware",UCE48l9y073rRIXVx9EbLCpA,Delaware,"(39.158168, -75.5243682)",23,125608,15:59:43.85
Suffolk County Government,UCBY8LgV6_y7QUn0c4lgxurw,New York,"(40.9132922, -72.6684075)",43,119205,12:27:37.04
City of El Paso Texas,UCwYdX-cXdg609Ppl8Bjq07g,Texas,"(31.7618778, -106.4850217)",29,117329,15:02:44.9
"City of Kalispell, Montana",UCED-PH7x6SQAWtMpdpp9XVg,Montana,"(48.1919889, -114.316813)",21,114896,11:55:56.89
thesalinaschannel,UCDRw9cCwSZoMesM7wg9IMgw,California,"(36.778261, -119.4179324)",27,114074,11:57:41.74
City of Whittier - Council,UCR695k5WfvSv0tc64m1qcqA,Alaska,"(60.77433059999999, -148.6851493)",10,108821,16:46:8.79
Municipal Employees' Retirement System of Michigan,UCnyUp57EJdcQNfbrD9lm77w,Michigan,"(42.721095, -84.648632)",26,108518,11:58:57.6
Iowa Counties,UCLHmerxoha95Oif5ubraYwA,Iowa,"(41.6624604, -92.0665197)",20,106890,12:13:41.32
Greenville Wisconsin,UCJdbHHH0GVrnrLQ2P5rsy9Q,Wisconsin,"(44.3002628, -88.53649539999999)",59,106721,18:34:56.64
City of Newark NJ,UCNiGYwneyNvfAIAcl6eOqmw,New Jersey,"(40.735657, -74.1723667)",81,103649,11:31:59.62
montgomerycountymd,UC5NXwF1EDfbecNogLVlrALw,Maryland,"(39.1547426, -77.2405153)",62,102134,15:36:39.93
Sun City AZ,UCdLy0Uy9sKWCJNLz37tn5ug,Arizona,"(33.5975393, -112.2718239)",17,100453,12:01:31.07
City of Crestview,UC6c0B22M2HhR57yJT3OPGyw,Florida,"(30.7541808, -86.5727995)",19,99242,15:33:33.01
FrederickCountyMD,UCxww6nBEuO-ZiYZRN65rsBw,Maryland,"(39.3844507, -77.4701972)",32,96382,11:58:45.68
Elim Union City NJ,UCMI5AfbUwdYQ0BaSw7kLC6A,New Jersey,"(40.7690496, -74.0286826)",12,94767,24:40:2.64
"City of Middletown, Ohio",UCh-fZasNyuDxLyVxjmcaCIw,Ohio,"(39.5150576, -84.39827629999999)",13,93426,09:52:6.93
Town of Lebanon,UCZV2ij7vU73Dh8C1JAI3QWQ,Maine,"(43.40066969999999, -70.91937899999999)",11,91353,14:32:53.45
City of Irondale Alabama Media Channel,UCGKMIsxUusCwlTEQpaKBs1Q,Alabama,"(33.5381601, -86.70721019999999)",29,90797,15:15:27.65
Davie County Government North Carolina,UCAiN6jkUKjTwR9skwbCiX7g,North Carolina,"(35.8936073, -80.5622214)",23,88967,11:39:0.66
Long Branch,UCazWLOC-aO4snD-76P7IhbA,New Jersey,"(40.30427780000001, -73.9923596)",14,85604,10:13:3.8
"City of Austin, Minnesota",UCz8RVD73YkHomdRrT_5LBwQ,Minnesota,"(43.6666296, -92.97463669999999)",99,82928,09:08:27.84
San Diego County Water Authority,UCbcVbucoGZmmZSHLKIHe8rg,California,"(32.8255245, -117.1312866)",133,82767,08:54:29.42
City of Elk River,UCdrWdP44oLkWv-hc0SIWF6g,Minnesota,"(45.33772829999999, -93.56911219999999)",149,82116,08:44:1.11
"City of Victoria, MN",UCx9xeLv6v0F0bMzK1BxMEzQ,Minnesota,"(44.8587227, -93.6615338)",12,81862,09:14:54.33
"City of Jackson, MS - Government",UCqo3szaVkdRjZ1cw1kKZktg,Mississippi,"(32.2981176, -90.1819512)",32,78288,09:47:59.07
"Wilson County, TN - Government",UCJ0nj4kiFHnfPUlW4uySzww,Tennessee,"(36.2131167, -86.28905320000001)",41,77071,10:28:30.52
"City of Ferrysburg, MI",UCMqr_ibvxyZlVajOzl-Tr3g,Michigan,"(43.08446199999999, -86.2203313)",10,75616,10:12:53.27
"City of Auburn, Maine",UCn4hg3vz0ftbcLee4mz-1Dw,Maine,"(44.0978509, -70.2311655)",9,71528,07:52:20.32
CITY OF HOLLYWOOD PARK,UCZnWXeNy5xRZUYFGT86lPMA,Texas,"(29.6005047, -98.48724)",11,71012,12:43:33.58
Augusta Georgia,UCj33t_Opz-YZ7auj6-RIs_A,Georgia,"(33.4734978, -82.0105148)",59,70056,07:51:15.44
Texas Municipal League Intergovernmental Risk Pool,UCCk9C8LXg9ncBGrFlog24Lg,Texas,"(30.3316115, -97.6812044)",21,69460,06:34:49.45
Salt Lake City Television,UCUzanlS6hJadbrMqnO_iofQ,Utah,"(40.7634412, -111.8905986)",39,69185,07:41:59.64
City of Rochester Building Safety,UCecGEc0sA9c2rr36BETWxiQ,Minnesota,"(44.0242437, -92.43130289999999)",7,65270,06:59:53.42
syracuse.com,UChbYn187BlBxq5LfGqZSv_A,New York,"(43.0481221, -76.14742439999999)",142,64180,06:35:16.81
City of Sunnyside Washington,UC7fq6y2MjcYTA-GBSTnXiuA,Washington,"(46.3237423, -120.0086538)",23,63748,21:32:23.29
WestminsterCO,UCJeyak1VUsnc1rPehZPNswg,Colorado,"(39.8366528, -105.0372046)",85,62236,07:18:43.13
"City of Fremont, CA",UCLm12bAo9z_1ob9UG69ZGKQ,California,"(37.5482697, -121.9885719)",48,62140,06:58:24.39
City of Maplewood MN,UCFoyXqYAzbo9ieihH-08zAA,Minnesota,"(44.9530215, -92.9952153)",65,60479,06:04:56.5
Logan County Oklahoma Local Government,UCHO_-sm2MrhIrt8AivUhMvA,Oklahoma,"(35.8780672, -97.4275742)",19,59042,09:29:54.07
PasadenaChannel,UC514B1OlciNW3q7lZU94PiA,Texas,"(29.69137, -95.1843055)",78,57968,06:35:15.99
"LBTV Long Beach, CA",UC9tkCWoykFdl-Z-JHSA3ATw,California,"(33.7700504, -118.1937395)",39,55900,05:37:5.17
ErieCountyNY,UC-bqfNQx5a6oFLVOX8kGeiw,New York,"(42.9023958, -78.8661589)",49,55447,05:45:41.65
Greenwood Indiana,UC60y34F88H1zvYh0sg3AdTg,Indiana,"(39.6136578, -86.10665259999999)",24,55243,10:51:12.41
Monroe North Carolina Government,UCzrGKOKR72fmCEn7D0f9mlg,North Carolina,"(35.0110269, -80.5447384)",15,54953,06:30:37.38
Indiana Counties,UChhq084D5FyZpN1i2MRccDA,Indiana,Indiana Counties,22,53577,05:48:49.49
Hennepin County MN,UCJDcgrMl0B2Og4ZdeOOrnFA,Minnesota,"(45.0208911, -93.5094574)",61,52315,05:39:36.62
austintexasgov,UCa6J9IdgL8Lir6YIQNsbkgQ,Texas,"(30.2671108, -97.7352672)",55,49955,05:11:24.33
Town of Vernon,UCYtqAAiyly9HwdaX6MHmDTg,Connecticut,"(41.8186802, -72.47903699999999)",5,49943,06:06:28.24
CityofVacaville,UCLC4Gd7Z4rwlWOciZVhlJJw,California,"(38.3565773, -121.9877444)",22,48852,04:38:18.25
"City of Albany, Oregon",UCbJgGQBiWbOMvpHnGbMLa8w,Oregon,"(44.6365107, -123.1059282)",22,47327,05:56:54.48
"Campbell County, Wyoming (Government)",UCl2KcXV1L_HJZlcZyxhapWw,Wyoming,"(44.3956107, -105.4489183)",12,45912,04:46:31.25
Prevention Institute,UCVpEtO68Hz0k2vuHWQMJFQQ,Connecticut,"(41.335094, -73.089766)",46,45101,05:12:12.08
Sacramento County District Attorney's Office,UCi0AEGcHEB460WW_VC1g6NA,California,"(38.5841801, -121.4930305)",80,44309,04:59:23.74
City of Albion,UCIsBR9GwwVJIL2wyGJCiXfg,Michigan,"(42.243097, -84.7530304)",7,42680,05:15:19.6
"DuPage County, Illinois",UC45ol-gzYfebGvZ3OLhzClA,Illinois,"(41.8243831, -88.0900762)",32,42319,04:56:24.67
FultonCountyGovernment,UCBdfjTes0C4KkKzXyKiK9zw,Georgia,"(33.7513931, -84.3913883)",170,41649,04:40:7.22
Hillsborough County,UC-ltrT7T2PDRdEEoU5NtOEg,Florida,"(27.9903597, -82.3017728)",76,41437,04:27:46.32
The Rappahannock Record,UCLvUPpawpHiVisnCS6XAkqA,Virginia,"(37.7114492, -76.3808789)",11,41305,07:24:2.14
"Haltom City, Texas",UCTQ7EcoJXKB8n0Bv6tItjXQ,Texas,"(32.7995738, -97.26918169999999)",2,40602,04:55:51.03
City of River Falls,UCoLgQPc-xuxbXrce-2ume-w,Wisconsin,"(44.8613563, -92.6238082)",14,39423,04:03:23.28
Kentucky League of Cities,UCr7WAKemYwT87iELNQfcybQ,Kentucky,"(38.045112, -84.49808999999999)",28,38741,04:13:7.52
Mississippi Department of Transportation,UCAZJpbHAIyVea2lY2sJBvZQ,Mississippi,"(32.3275393, -90.181474)",133,37152,04:17:20.11
Citizens4Integrity,UCsao3TFcldlkoBifyeanZ5g,South Dakota,"(43.9695148, -99.9018131)",12,36015,04:03:4.2
City of Boston,UCqdM7PpJ84RvkqM87OzMAzw,Indiana,"(39.74116009999999, -84.8519034)",41,32774,03:38:59.81
Town of Apple Valley Utah,UCxfcnSqTRCiZPLqABwMXslQ,Utah,"(37.10441550000001, -113.1251775)",3,32515,04:13:18.58
Washington State Auditorâ€™s Office,UCoqV43R7JgM1q7WWi26Sorw,Washington,"(47.0358904, -122.9033286)",50,31716,03:40:53.72
Central County Water Control District,UCPO42Ece_pmdcQnrtDze-VA,Florida,"(26.6227859, -81.0785101)",5,31467,06:08:35.54
"Hoover, Alabama",UCEtvZ4p5toQc9p3XH2OTm9g,Alabama,"(33.4053867, -86.8113781)",64,30651,04:56:26.89
City of Newport RI,UCQEXfLzrNpxe7AZme3dTP0w,Rhode Island,"(41.4901024, -71.3128285)",6,30641,03:45:29.7
