channel_name,channel_id,real_state,lat_long,transcript_count,wordcount,speech_dur
"SEMCOG, the Southeast Michigan Council of Governments",UCr0wxe2H-pgsBP8ag_HPNHQ,Michigan,"(42.332029, -83.0476)",46,30200,03:22:36.02
City of Oxnard Government - Official,UCyYBxLRP6z33lKEkyxreAUA,California,"(34.2000543, -119.1802258)",20,30081,02:57:54.84
Montana YMCA Youth and Government,UCTcNqEsmDnz8dAb1DUv40eg,Montana,"(46.5995748, -112.0316756)",8,30064,04:23:9.89
"City of Rio Rancho, NM Municipal Government",UCQbt-un8dQITuiIRLcbtq8Q,New Mexico,"(35.3109281, -106.6850204)",20,29914,03:05:33.22
"City of Monroe, Michigan",UCiO2fcMaMm-faFWMWNTcFIw,Michigan,"(41.9164343, -83.3977101)",7,29754,03:05:26.37
Wake County,UCJWIhzcE0ZVmh3kcZSj7gDA,North Carolina,"(35.8031909, -78.5660852)",22,29716,03:35:51.29
Falmouth Maine,UCHeGX1GVbkUOB-KSASNDvQw,Maine,"(43.7435343, -70.2601759)",26,29594,03:19:50.71
GOCC WISCONSIN,UCltp6NRcZoNXtHllH8VOMYQ,Wisconsin,"(43.7844397, -88.7878678)",6,29590,02:59:43.28
City of Kingman,UCCefFg5UL6weXKr-wenyHVQ,Arizona,"(35.189443, -114.0530065)",10,29364,03:19:27.21
City of Irvine,UClqzzO7LI1d8KB20gwDnd0g,California,"(33.6845673, -117.8265049)",45,28702,03:04:55.34
LWVSJC,UC0xqyjb977v3IXocgTSD2_g,California,"(33.510788, -117.641013)",5,28383,02:48:40.62
County of San Mateo,UC2bWDXcW6FfdxVyR-V34oag,California,"(37.4337342, -122.4014193)",21,27898,03:07:51.8
City of Mt. Pulaski,UCUGntHxJMcrkLQTsfMI0eaw,Illinois,"(40.0108767, -89.282314)",8,27767,04:19:40.64
Orange County North Carolina Video,UCWv68m-BGtw4OBxzOMB8fnQ,North Carolina,"(36.0741901, -79.0808665)",38,27747,02:59:54.63
City of Las Vegas Government,UCH9xyXcOBq9hEEkkx9iaojw,Nevada,"(36.1674222, -115.1487183)",17,25614,02:49:23.51
Town of Hope Indiana,UCP0V3YxQavE_NWKSYNw-7EQ,Indiana,"(39.3039397, -85.77137220000002)",7,25585,05:51:16.15
upwhawaii,UCC-QUQuhKO5wqg-ROI23H5A,Hawaii,"(19.8967662, -155.5827818)",51,25325,03:37:57.1
Bernalillo County,UCAKt5BZwiEUsv7sfIuPVDFQ,New Mexico,"(35.0177854, -106.6291304)",7,24526,02:46:55.37
Cycle City Hawaii,UC6zCHHNhSiPgBVWlbdqrBZQ,Hawaii,"(21.3358648, -157.9018814)",76,23642,02:26:25.59
IndianaGovernment,UCozYWNqZFDoraG0emqv5pxg,Indiana,"(39.76906899999999, -86.164862)",8,23590,02:53:52.79
"City of La Marque, Texas",UCxVsgw5xtGI61mjpnZIsq_A,Texas,"(29.3685674, -94.9713134)",7,23482,03:21:46.75
VT Environmental Assistance Office,UCS2vjqFSHAqKkHvRSk0Fy1w,Vermont,"(44.2560755, -72.5845027)",7,23316,02:36:46.85
Vermillion City Council,UCuzkuhioz6Qycw2w7LVP6Bg,South Dakota,"(42.7801475, -96.9313383)",3,23019,02:39:6.44
BeatriceNE,UCU5o7cx5DzXuWYZhcetoZAg,Nebraska,"(40.2659269, -96.7466913)",5,22487,02:19:2.6
SB County Community Development & Housing Agency,UCObCQpOZy4Z6zfG0pyKxPYQ,California,"(34.9592083, -116.419389)",3,22305,02:18:20.8
Jersey City TV,UCdLHkxEC-vqQLcJ9URFSjxw,New Jersey,"(40.70164740000001, -74.0954634)",2,22187,02:58:42.01
MAofSC,UCy9fEYosYMZ8hHNjC5Ckcgw,South Carolina,"(33.836081, -81.1637245)",75,21952,02:33:21.28
Town of Stafford Connecticut Government,UClrauDkq299UCkPjf4VTGrw,Connecticut,"(41.9536685, -72.303231)",4,21698,02:21:46.75
Connecticut Conference of Municipalities,UCjkAzQTiyYHKbBul87L2ygg,Connecticut,"(41.3061448, -72.9267022)",49,21474,02:56:32.47
Pennsylvania Youth and Government,UCcBuZVx4F52Dm_i2btUngFA,Pennsylvania,"(41.0268556, -75.7135563)",34,21396,02:30:44.53
"Marin County, California - Topic",UC7bWBURktSO66zx5c2_iKww,California,"(38.083403, -122.7633036)",31,21082,02:29:37.76
City of Texas City,UCdQS7VQBfII7oORQr99sh9g,Texas,"(29.383845, -94.9027002)",25,20535,02:13:12.75
Sullivan County NY Government,UC-6KnDAiuQEnDNWO13Ev1sw,New York,"(41.6584571, -74.6917748)",30,20376,02:20:20.61
Spring Hill,UCQEXn0j-fLqffqG4s6QBFfQ,Tennessee,"(35.751179, -86.9300023)",15,19896,02:22:40.08
"Dermott, AR - City Council Meetings",UCvnMypyvB77uiB3lQOM31WQ,Arkansas,"(33.527622, -91.43401899999999)",7,19892,04:54:9.28
City of Lennox South Dakota,UCv3rb5ZDuUF4uFk6yzeJEmQ,South Dakota,"(43.3541476, -96.8919951)",12,19296,05:14:9.24
"City of Colonial Heights, Virginia",UC1tsRrPU64271-CaggUfUmA,Virginia,"(37.244039, -77.4102607)",9,19080,02:15:32.26
Morris Minnesota City Government,UCBEIGAZ0NE9wZwzveonGqgA,Minnesota,"(45.5879479, -95.91012409999999)",4,19065,02:45:28.01
Arizona City Council Managers,UCfETHSDPPzHUpTnt1v4ETSw,Arizona,"(33.5305827, -111.9427231)",1,19040,02:32:29.47
Lee County FL,UCSnQCEJdfUrobF9dxUltyyA,Florida,"(26.6630286, -81.9534815)",44,18870,02:00:58.45
"City of Lewiston, ME",UCprFi23oI7DclYQ8kxx_mmQ,Maine,"(44.100351, -70.21477639999999)",14,17756,02:22:0.8
Catoosa County Government,UC64XOfN6J-FoYWa8r3nsXzg,Georgia,"(34.9143911, -85.1120737)",15,16846,07:03:58.5
ClerkPBC,UCNvqLXX6GTxXT7Oh2ugk2Zw,Florida,"(26.7152573, -80.0539668)",5,16673,02:46:16.71
CO Pearland,UCRAyWlB2d1XLCJ8SHH8xyxQ,Texas,"(29.5602328, -95.25944369999999)",55,16288,01:46:39.15
News Now Colorado,UCmQIlF7oc5d4MFoqCLYWxrA,Colorado,"(38.8324088, -104.8151814)",17,15845,02:14:40.67
JolietChamber,UCrw4xfNf3J6cLHhBT9MZONw,Illinois,"(41.525363, -88.08194300000001)",14,15801,02:11:59.18
KaysvilleCity,UCtH-iKmjfeXat6K2wOetoZQ,Utah,"(41.0352216, -111.9385521)",14,15459,02:02:30.03
"CDL Boulder City, NV",UCafmz4bssPAHklFxg7bYnGg,Nevada,"(35.976325, -114.849629)",4,15281,01:57:31.58
City of Greeley Government,UCegM3TAyGPayKBUHIeQCv6w,Colorado,"(40.4261819, -104.6949673)",21,15128,01:19:26.86
Prince George's County Government,UCO2d1EtrwB-VuFJAOxsApLg,Maryland,"(38.8180043, -76.7508472)",1,15061,01:50:15.17
Walton County Georgia Government,UCj0GzvDmT3kXYcl731gQhZQ,Georgia,"(33.7972101, -83.6962483)",14,15051,01:46:33.39
Pennsylvania Municipal League,UC4XZkKTzJb1Mn4PBweUcP6Q,Pennsylvania,"(40.2627665, -76.8867669)",32,14865,01:26:32.49
"City of Sanford, FL",UCrOGg6n2Qjw6yujcrwc0Z3g,Florida,"(28.8028612, -81.269453)",17,14756,01:30:52.0
DCRA Alaska,UCFSTJMeEaFAZloRXttusWtA,Alaska,"(61.215319, -149.8929102)",16,14699,01:34:7.36
SHTV1,UC0n_eLFiW2cCJ_24TSn9DjA,Michigan,"(44.3148443, -85.60236429999999)",15,14515,01:32:58.73
Huntsville AL Chamber,UCAAaVq-FtTy8HOhVel2f8sQ,Alabama,"(34.7321253, -86.59074179999999)",21,13190,01:43:45.65
"Orange County, NY Government",UCU3TVLdskRq8PPcLuNugy1A,New York,"(41.3911653, -74.3118212)",2,12922,01:09:5.88
"Apache County, AZ",UC2nB5nlo3B_zC-BapdrSE5A,Arizona,"(35.5313224, -109.3783206)",2,12690,01:47:37.45
Lovington CityHall,UClx_ZlWABOnJ8VIMCmNxUHQ,New Mexico,"(32.9469039, -103.3474216)",2,12407,01:39:28.2
CRTL Idaho,UCNgX63P-NrTDkW1b57j23jA,Idaho,"(43.448534, -112.082023)",6,12294,01:21:5.74
North Beach MD Town Meetings,UC8Fpm9HJuO0ucbnCqp5H60w,Maryland,"(38.7048652, -76.53337619999999)",2,11943,01:52:29.18
City of Idaho Falls,UCE2S6lYv_OBcXSLi1drW8Ng,Idaho,"(43.49266069999999, -112.0407584)",19,11843,01:17:6.75
Alaska Department of Fish and Game,UCuWzmB-DTkJ5QKz-SQj6ioQ,Alaska,"(58.299325, -134.4246039)",10,11534,01:14:34.3
New Jersey League of Municipalities,UCbce9oVw9LvO6vxNz_89mZw,New Jersey,"(40.2222399, -74.7735452)",13,11510,01:23:10.27
City of Portage,UCF2Ug3N2isAYPqthE20LMTQ,Indiana,"(41.5758707, -87.1761455)",2,11448,02:01:53.19
North Augusta SC 20/20 City Council Meetings Etc.,UCkwe765ru7YpKlWoeCj0DxA,South Carolina,"(33.5018026, -81.9651152)",17,11425,03:44:50.89
"City of Brentwood, TN",UCpy4tA7ME8ra38IDTTAXHVw,Tennessee,"(36.0331164, -86.78277720000001)",38,11132,01:25:43.7
Mesa Arizona,UCmLARnhYfg-Nrdn2tNVbamA,Arizona,"(33.4151843, -111.8314724)",11,11126,01:17:44.39
City of Enterprise,UCcNWtA7WWkhBthBak26TXnQ,Alabama,"(31.3151708, -85.85521609999999)",15,10894,01:31:14.44
"City of Parkersburg ,WV",UCnB1o9IZ7LWLn6rcupcRlDw,West Virginia,"(39.2667418, -81.56151349999999)",20,10821,04:41:19.18
"City of Minot, North Dakota",UC5lYczuYDY3kamyQAWkjzRA,North Dakota,"(48.2329668, -101.2922906)",11,10606,01:03:51.72
"City of Cuba, Missouri",UCh7i3_jSD81CUG2b4SsMRHw,Missouri,"(38.0628225, -91.40348329999999)",21,10511,04:39:21.21
Maryland Business for Responsive Government,UC9-lxdBwbGwCMl2Nci9x04A,Maryland,"(39.197507, -76.853346)",3,10486,01:16:34.48
County Supervisors Association of Arizona,UClaFI77eHUaMVsDH4uiQzFQ,Arizona,"(33.4476418, -112.1008513)",5,10323,01:06:6.8
CityOfTitusville,UCvQPDngBunvcPZsioiJuQ_g,Florida,"(28.6122187, -80.8075537)",10,10173,01:04:50.55
Oswego County Government,UC1ELFNINuYGu9umMYQoyKMg,New York,"(43.4576398, -76.5061367)",4,9733,02:51:17.32
City of Concord NH,UCDD8p5ZXUSNhW3_l8S78W5w,New Hampshire,"(43.2081366, -71.5375718)",15,9664,01:18:41.72
"City of Plattsburgh, New York",UC7H36PiuYNJJkZpczbLvCbw,New York,"(44.6994873, -73.4529124)",1,9499,01:06:17.34
LakeCountyTV,UCnKKNni9P9HgvUhNlszYu4w,Illinois,"(42.3689363, -87.8271534)",15,9423,00:57:40.79
"City of Ashland, KY",UCyq2LQ4SfzpLNVVsiOXG35w,Kentucky,"(38.4784144, -82.63793869999999)",1,9417,01:08:58.39
St. Louis County,UC2zQKsLDopMP6vAxDzAD0gw,Missouri,"(38.6103023, -90.4125181)",7,9130,00:58:59.6
"Lake County, FL - Government",UCd3YB4jmtmtKA1VkRXw33aQ,Florida,"(28.801728, -81.72981)",26,9111,00:56:16.41
"City of Beresford, South Dakota",UCPY5tEeuWxpKG4zHoSzAPVg,South Dakota,"(43.0805446, -96.77365499999999)",3,9073,02:01:10.89
"Town of Scottsville, Virginia",UCaHK29YBXdB-aMl_b6e7rhA,Virginia,"(37.798754, -78.4955648)",2,9067,01:17:14.89
"Lebanon, Indiana",UCr7VceVqyRwrsJEhejJinGQ,Indiana,"(40.0483744, -86.4691677)",5,8791,00:52:43.82
City of Corona,UC9_CEJrk_tnfVR7hyl6Kpwg,California,"(33.8752935, -117.5664384)",12,8783,01:00:8.01
League of Minnesota Cities,UC7dPiX83ITyP5YJokRKC8rw,Minnesota,"(44.95609, -93.10669)",16,8779,00:53:42.67
Maryland Municipal League,UCgG96iwVAdX7Y-RNL2u8pow,Maryland,"(38.9777014, -76.5132089)",24,8694,00:59:40.94
NH Municipal Association,UCJAJA0rcyK-nviBQyZbDSRw,New Hampshire,"(43.2191404, -71.4880368)",1,8395,00:55:55.1
Overlook NM,UCzdNUVVmpA4paSfwJUGjaLQ,New Mexico,"(35.3069845, -106.4486358)",16,8391,00:56:29.85
"City of Rosemount, MN",UCHJ2l9oFLxFeDoISijWtNMQ,Minnesota,"(44.7394103, -93.12577230000001)",2,8325,00:54:16.27
CityPortStLucie,UClq_tphDlSHirmsyLeHJiig,Florida,"(27.2730492, -80.3582261)",2,8169,00:46:38.09
City of Milwaukie Oregon,UCRFbfqe3OnDWLQKSB_m9cAw,Oregon,"(45.4465323, -122.6323315)",8,8136,00:52:6.63
"City of Clovis, NM",UC3jy8DqeO4AA3GiB73JSyMQ,New Mexico,"(34.4047987, -103.2052272)",6,8118,01:04:21.56
ConnecticutNetworkTV,UC5i71kM8tvpFKG60XyLLRMA,Connecticut,"(41.7640311, -72.6843145)",14,8056,00:47:1.55
Illinois Youth & Government,UCpPYpbakFJmcoyhF-9mersw,Illinois,"(41.8330175, -88.01940429999999)",7,8031,00:58:50.48
City of Springfield MA,UCKWQmyAdZvtvGGN6rAFNJcA,Massachusetts,"(42.1014831, -72.589811)",10,8030,01:04:10.99
LA City Emergency Management,UChO9l1ByinQ7u1epchCv3vg,California,"(34.0505911, -118.1763924)",16,7886,00:51:21.12
"City of Huntington, WV",UCIbOv9DiKt7s8KPLAjRwD8g,West Virginia,"(38.4192496, -82.44515400000002)",5,7858,01:08:5.46
Middlesex County NJ,UCHno4CX2XIYE_ZG34zkIeNA,New Jersey,"(40.4111363, -74.35874729999999)",13,7797,00:46:29.03
"Unified Government of Wyandotte County / Kansas City, KS",UC64VEdFxbNUAkmtYHwXwoJA,Kansas,"(39.1129848, -94.62542409999999)",3,7387,00:58:32.53
Iowa Government,UCc0mFeh-UgNJJ8rckSDSeFw,Iowa,"(41.5925005, -93.5985932)",7,7331,00:52:22.62
"City of Columbia, TN",UCjjZOwKcE8_lPi4KmbzoI0g,Tennessee,"(35.6150716, -87.0352831)",11,7100,00:42:49.54
cityofmesquitetexas,UCISuuU-1AZXnm0-k_2sfJOQ,Texas,"(32.76679550000001, -96.5991593)",7,6979,00:48:41.93
pcctv1,UCXRyq4zJBFhs8zpTiIGQL5Q,Florida,"(27.876394, -82.7778579)",5,6948,00:40:22.2
CityofPalmdale,UCJHoqIwLNDlVFu7vZEJNkdA,California,"(34.5794343, -118.1164613)",2,6673,00:38:46.32
City of Kitttitas WA 98934,UCEzXaxmyxepL5x1y2Y6c3Mw,Washington,"(46.9802702, -120.416799)",2,6507,01:04:37.35
"City of Altoona, WI",UCLG1rb91nDPt2S5APItfccg,Wisconsin,"(44.8046825, -91.44321479999999)",8,6480,00:53:37.31
City of San Diego,UCCd4neYX0bX9UEYKJZsgpBw,California,"(32.715738, -117.1610838)",1,6334,00:45:57.07
TheBurbankChannel,UCNDlWLv3ZR1YlYRBxemNF3A,California,"(36.778261, -119.4179324)",1,6214,00:51:17.1
"City of Jacksonville, Florida",UCDz1-m1rzglGoYCHG-yTLaA,Florida,"(30.3321838, -81.65565099999999)",7,5933,00:39:11.97
City of El Monte CA Government,UCTnXHhiP0BUIOeo3mGSZ4rg,California,"(34.0682658, -118.0616936)",3,5931,00:49:17.7
Default Name,UCkEAENbr83XdYgNYXG1ZJMw,New Hampshire,"(43.1938516, -71.5723953)",1,5884,00:35:28.49
Georgia Municipal Cemetery Association,UChq_4HlWrpaIhozKkgS2LWA,Georgia,"(33.715605, -84.4496102)",1,5868,00:36:24.11
CityofLeagueCityTX,UCRyTPtc3XEWCGGpT7ddmcJg,Texas,"(29.5074538, -95.0949303)",24,5399,00:34:3.36
Brookfield CT,UCe10fHPwRxmDQ9oxitmqn3g,Connecticut,"(41.4825947, -73.4095652)",1,5064,00:39:2.23
Coral Springs,UCpJTI3iON45k4Lzx3c66u_w,Florida,"(26.271192, -80.2706044)",2,4870,00:27:3.11
CCE Delaware County,UCN4iNbSfXcItXlXBXsBHzSA,New York,"(42.180805, -75.0120829)",10,4866,00:39:52.41
NM Youth And Government,UC6ZG3Yjs3LoQnRtvrbZ0gYg,New Mexico,"(35.1116958, -106.6320615)",4,4860,00:29:4.95
Salem County Government NJ,UCB_2qtc3DG7v5JbRq-7HZ-Q,New Jersey,"(39.5730773, -75.466768)",15,4854,00:33:53.33
Larimer County Government,UCTZ-neESjN8BeV_MKQEc5Uw,Colorado,"(40.5865084, -105.0797411)",1,4779,00:31:42.16
ClarkCountyNV,UCjTkV9P9szNXPht8tJKl0aw,Nevada,"(36.0795613, -115.094045)",12,4692,00:30:19.6
fultoncountybcbs,UCwvUHaBlFXXlE56OIqw18bQ,Georgia,"(33.8477268, -84.36819779999999)",6,4689,00:52:8.8
New York City Council Member Laurie A. Cumbo,UCxBVCe2yzB9z24oMA6WovEw,New York,"(40.6679029, -73.9309916)",21,4609,00:30:17.29
MS Library Commission,UCQ3sc0r86d2-cZ-NngizHRA,Mississippi,"(32.3394965, -90.14696359999999)",13,4602,00:31:36.12
City of Maple Valley - Official,UCBOARNqj0-h6M0r0q8xgY-A,Washington,"(47.3911867, -122.047031)",8,4426,00:26:3.43
"City of Battle Ground, WA",UCdncPb-Uoz18wrk91zGhBig,Washington,"(45.7806939, -122.5475467)",1,4352,00:28:6.21
Westchester County Government New York,UCOE0wn9vJwY2TcgJNBIpIDA,New York,"(41.0294391, -73.76753719999999)",5,4214,00:30:54.01
Green Government Montgomery County MD,UCvrndKse0tZwqiF70tW7m_w,Maryland,"(38.9850174, -77.08889719999999)",9,3948,00:24:4.46
Hawaii Island Coalition Malama Pono,UCG_UY_FWy2kuHEmC2Suox7w,Hawaii,"(19.6370629, -155.9892782)",8,3944,00:26:25.69
"City of Dublin, CA",UCVxFLCImmHgKXs9RQkY6OkA,California,"(37.7021521, -121.9357918)",7,3816,00:28:59.75
"Decatur, Indiana",UCYCQSTh8vJ2DEH8IrkbkD3g,Indiana,"(40.830603, -84.9291329)",5,3811,00:22:57.76
Minnesota YMCA YIG Youth in Government,UCcr5YqIWxXtSQ4NbKzhQoCA,Minnesota,"(44.9774001, -93.2307091)",10,3735,00:28:25.04
CityofChulaVista,UCGCeNmeSButuOp4yFCIh9Iw,California,"(32.6400541, -117.0841955)",15,3699,00:26:20.09
Oklahoma Municipal League,UCq709y5jiSJf5sPulXKoXww,Oklahoma,"(35.493524, -97.507459)",11,3679,00:21:52.39
GainesvilleDistrictSupervisorPWC,UCaC60DAYb0S1-YQ9LcV_0pQ,Virginia,"(37.4315734, -78.6568942)",9,3673,00:26:16.16
CityofTacoma,UCeE_KkLW1qXJvzHPt6jCquQ,Washington,"(47.2528768, -122.4442906)",2,3558,00:20:54.01
"City of Mt. Shasta, California",UC3RTHPMvubRfg1lMsXVKzNg,California,"(41.3098746, -122.3105666)",11,3471,00:26:32.96
"Spring Lake, NC",UCm0CjxLmNE738zbbEDXqKbg,North Carolina,"(35.1679395, -78.97280560000002)",2,3451,00:30:14.05
AroundTulareCounty,UCI-iY8dkFYiDdTAHhtFglRg,California,"(36.1341739, -118.8596804)",7,3422,00:25:21.21
Kentucky Department for Local Government - DLG,UC4CErK3o_ZmjaQNdxYDUqtg,Kentucky,"(38.1839425, -84.8144551)",13,3340,00:21:40.47
City of Moundridge,UCSnGSURxMyO02DQK17O7xJg,Kansas,"(38.203065, -97.5192065)",16,3274,00:21:27.38
Florida Government,UCy9172bFY8usKzYt_KQGBJw,Florida,"(30.4380486, -84.2850717)",4,3163,00:19:17.82
"City of Huntington, Indiana",UC8hwdT9hgRsEUzl-aPlM1vA,Indiana,"(40.8831011, -85.49747599999999)",5,3005,00:24:20.5
Monmouth County Government,UCNgA5BEjpF7x7ckw8qrXtLw,New Jersey,"(40.2646141, -74.2504763)",14,2984,00:17:22.32
"City of Galesburg, IL",UCaRXtxhs0iGsSDksooZwC7g,Illinois,"(40.94781580000001, -90.3712395)",2,2910,00:20:26.03
Snohomish County,UCklxVJ_qnhWVL3Obl2aYB2w,Washington,"(48.0329979, -121.8339472)",7,2820,00:20:49.37
North Dakota AFL-CIO,UCNEsTdrFb3fgJBD_QzKr_ug,North Dakota,"(46.803712, -100.771268)",2,2686,00:18:16.96
City of Boone Iowa,UCnBMeDzthqeoIe7LHv2cwvQ,Iowa,"(42.0597047, -93.8802273)",14,2666,01:05:30.43
Wisconsin BBA Government,UCM7ezxQo8FxzGRqalOuAXYw,Wisconsin,"(43.0727758, -89.4014904)",12,2643,00:19:29.7
Cook County Government,UCeg42agpsybX9TfCu8jz2tA,Illinois,"(41.8802735, -87.6308317)",9,2609,00:17:10.7
Baltimore County,UCIDK1jaFTzM-z_vSFphn4bw,Maryland,"(39.4647665, -76.7336521)",1,2576,00:15:5.08
DurhamSWCD,UCMltA0_udTzJ1BXvhKR4WJw,North Carolina,"(36.0045172, -78.90172609999999)",3,2570,00:17:56.66
City of Iowa City Government,UCxvLmwfHhFfaqHnQYrhncqA,Iowa,"(41.6604909, -91.52949319999999)",1,2527,00:20:3.59
Mississippi Department of Human Services,UCyIAzmybt32v-YoYNYbDVHw,Mississippi,"(32.2983727, -90.1860277)",5,2366,00:16:48.74
"City of Portage, WI",UC1js1AsdSXS9xpPGeQDfHSQ,Wisconsin,"(43.5391486, -89.46262019999999)",8,2296,00:13:49.98
Bellevue Television,UCW22suSoHWumwarCbu3NkOg,Washington,"(47.60455899999999, -122.1305799)",3,2295,00:14:15.84
Montana Municipal Interlocal Authority,UCTJLv2_9DzbmeSdMrqOzHYQ,Montana,"(46.616824, -112.030694)",3,2201,00:12:43.34
Rialto Network,UCFjyuwhE1mcZvgkHnsKRTfg,California,"(34.0996639, -117.3734121)",1,2169,00:14:49.04
Oconee County GA Government,UCwmtvTm8RGjiwmHUO8DP1mw,Georgia,"(33.855574, -83.39978049999999)",9,2073,00:13:12.84
Alabama Together,UCDWgz3YCxKXKbV9fGstbeLw,Alabama,"(32.3182314, -86.902298)",8,2057,00:17:7.28
"Carroll County, Virginia",UC0g49JAgfj_NkbR6eDtgdyw,Virginia,"(36.6778699, -80.7214417)",3,1982,00:14:29.73
City of La Quinta,UCG54GVUvLwUvZPCx596LbkQ,California,"(33.6633573, -116.3100095)",6,1932,00:15:22.49
"City of Portsmouth, New Hampshire",UCXUNd8goAjKxc_aXfvXIKdw,New Hampshire,"(43.0717552, -70.7625532)",1,1840,00:12:30.69
City of Beaumont - Government,UCnY6nNk8zfXZulMg1zbwEBg,Texas,"(30.0818183, -94.0944202)",9,1806,00:15:23.97
Maryland YMCA Youth & Government,UCC0szOnY50huTkcp1kqB3Rg,Maryland,"(39.0127117, -77.01631809999999)",2,1774,00:16:5.25
LCDC Maine,UCXdIEZfDNG_QgJOAmCtWn8Q,Maine,"(44.0119619, -69.34129279999999)",19,1667,00:10:45.11
Utah Office of the State Auditor Local Government Division,UC_zj1HbPzVfj5hzv89KCu6w,Utah,"(40.7775314, -111.8878716)",6,1631,00:11:3.03
Ownby US/VA Government,UCMJ9hCPzPs_DiPcX-GQEjZw,Virginia,"(37.5633011, -77.4569801)",4,1480,00:08:34.94
Cass County ND,UC2YN9WLXQ0kjDXIwdcPYC9Q,North Dakota,"(47.071168, -97.12155790000001)",6,1469,00:10:9.16
New Mexico House of Representatives,UCIrMQ6ct5h9f2f6-_uZpNOw,New Mexico,"(35.6821782, -105.9396627)",7,1267,00:07:29.49
Maricopa County,UCZKASNi4Nm27rw3gfUIjEKA,Arizona,"(33.2917968, -112.4291464)",5,1247,00:08:10.09
Dane County Board of Supervisors,UCgfH3y3SXmNkSZkjp7kCUdQ,Wisconsin,"(43.072422, -89.382392)",2,1130,00:07:56.63
Warren County Board of Supervisors,UCPx4uFe9iTsgC7dZrpKfw1A,Mississippi,"(32.353067, -90.87843620000001)",1,1130,00:06:46.73
Maine Bureau of Human Resources,UCu-W8zF89UHdxwvJbpx6esA,Maine,"(44.30731979999999, -69.7828983)",4,1122,00:06:13.73
collincountygovt,UC-E9aeShO9W7onfC1AoIwzw,Texas,"(33.241749, -96.6318)",1,1110,00:09:28.77
"City of Gravette, Arkansas - Official",UC5L-KVG-9wiBtZRebmjX5pQ,Arkansas,"(36.4220207, -94.4535484)",3,1074,00:06:4.11
Pierce County Television,UCGvPR0hQZnSAeetnsdjkUMQ,Washington,"(47.24202210000001, -122.4673488)",1,1071,00:06:59.02
KS Legislature,UC_0NO-Pb96CFABvxDwXAq8A,Kansas,"(39.0478237, -95.6767883)",2,1058,00:28:50.54
Louisiana Municipal Association,UCHLSr4SUANCYoYEpQatv5UA,Louisiana,"(30.4538341, -91.1798063)",3,1056,00:09:44.25
"City of Ammon, Idaho",UC9fNsA0JthGQ7mD8wB7FJXQ,Idaho,"(43.4696366, -111.9666355)",1,1048,00:07:37.45
"Peoria County, IL, Government",UC-qaAdj6tzIxqi3odzEoMlQ,Illinois,"(40.6929334, -89.5897553)",4,1041,00:07:30.69
