"channel_name","location","channel_id","lat_long2","no_videos","wordcount"
"Ownby US/VA Government","Richmond, Virginia","UCMJ9hCPzPs_DiPcX-GQEjZw","(37.5633011, -77.4569801)",4,1478
"Florida Government","St. Petersburg, Florida","UCy9172bFY8usKzYt_KQGBJw","(27.7739864, -82.64083219999999)",4,3140
"Pennsylvania Municipal League","Harrisburg, Pennsylvania","UC4XZkKTzJb1Mn4PBweUcP6Q","(40.2627665, -76.8867669)",32,14796
"Town of Wiggins","Wiggins, Colorado","UCLfzJYfsilF0D3dQGKMpGbw","(40.2305363, -104.0727278)",19,319767
"Orange County, NY Government","Orange County, New York","UCU3TVLdskRq8PPcLuNugy1A","(41.3911653, -74.3118212)",2,12876
"Greenville Wisconsin","Greenville, Wisconsin","UCJdbHHH0GVrnrLQ2P5rsy9Q","(44.3002628, -88.53649539999999)",32,103818
"News Now Colorado","Colorado Springs, Colorado","UCmQIlF7oc5d4MFoqCLYWxrA","(38.841051, -104.739221)",16,15606
"Prince George's County Government","Upper Marlboro, Maryland","UCO2d1EtrwB-VuFJAOxsApLg","(38.8180043, -76.7508472)",1,14954
"City of Lewiston, ME","Lewiston, Maine","UCprFi23oI7DclYQ8kxx_mmQ","(44.100351, -70.21477639999999)",14,17614
"CityofDurhamNC","Durham, North Carolina","UCHUDjJ4VIFaf3a9ap9s5qEA","(35.9940329, -78.898619)",225,403093
"CityOfTitusville","Titusville, Florida","UCvQPDngBunvcPZsioiJuQ_g","(28.6122187, -80.8075537)",10,10104
"Orange County North Carolina Video","Hillsborough, North Carolina","UCWv68m-BGtw4OBxzOMB8fnQ","(36.0741901, -79.0808665)",38,27582
"CO Pearland","Pearland, Texas","UCRAyWlB2d1XLCJ8SHH8xyxQ","(29.5434205, -95.2225551)",31,10862
"Illinois Youth & Government","Downers Grove, Illinois","UCpPYpbakFJmcoyhF-9mersw","(41.8330175, -88.01940429999999)",7,7989
"City of Mt. Pulaski","Mount Pulaski, Illinois","UCUGntHxJMcrkLQTsfMI0eaw","(40.0108767, -89.282314)",8,27614
"City of Portage, WI","Portage, Wisconsin","UC1js1AsdSXS9xpPGeQDfHSQ","(43.5391486, -89.46262019999999)",8,2276
"Montana Municipal Interlocal Authority","Helena, Montana","UCTJLv2_9DzbmeSdMrqOzHYQ","(46.616824, -112.030694)",3,2189
"City of Ammon, Idaho","Ammon, Idaho","UC9fNsA0JthGQ7mD8wB7FJXQ","(43.4696366, -111.9666355)",1,1043
"Lake County, FL - Government","Tavares, Florida","UCd3YB4jmtmtKA1VkRXw33aQ","(28.801728, -81.72981)",26,9014
"Apache County, AZ","Apache County, Arizona","UC2nB5nlo3B_zC-BapdrSE5A","(35.5313224, -109.3783206)",2,12643
"Utah Office of the State Auditor Local Government Division","Salt Lake City, Utah","UC_zj1HbPzVfj5hzv89KCu6w","(40.7775314, -111.8878716)",6,1611
"Green Government Montgomery County MD","Bethesda, Maryland","UCvrndKse0tZwqiF70tW7m_w","(38.9850174, -77.08889719999999)",9,3923
"League of Minnesota Cities","St Paul, Minnesota","UC7dPiX83ITyP5YJokRKC8rw","(44.95609, -93.10669)",16,8733
"NM Youth And Government","Albuquerque, New Mexico","UC6ZG3Yjs3LoQnRtvrbZ0gYg","(35.1116958, -106.6320615)",4,4842
"City of El Paso Texas","El Paso, Texas","UCwYdX-cXdg609Ppl8Bjq07g","(31.7618778, -106.4850217)",27,92219
"City of Gravette, Arkansas - Official","Gravette, Arkansas","UC5L-KVG-9wiBtZRebmjX5pQ","(36.4220207, -94.4535484)",3,1067
"City of Jacksonville, Florida","Jacksonville, Florida","UCDz1-m1rzglGoYCHG-yTLaA","(30.3321838, -81.65565099999999)",7,5902
"City of Woodbury MN","Woodbury, Minnesota","UCDsJCsK3YLLVgRbg34kABMA","(44.9238552, -92.9593797)",312,240156
"Oklahoma Municipal League","Oklahoma City, Oklahoma","UCq709y5jiSJf5sPulXKoXww","(35.493524, -97.507459)",11,3655
"City of Milwaukie Oregon","Milwaukie, Oregon","UCRFbfqe3OnDWLQKSB_m9cAw","(45.4465323, -122.6323315)",8,8091
"County of El Paso, Texas Commissioners Court Public Meetings","El Paso, Texas","UC-2RxYOS6Y6VkDlp5eM0OLA","(31.7582637, -106.4841176)",52,725858
"City of Sanford, FL","Sanford, Florida","UCrOGg6n2Qjw6yujcrwc0Z3g","(28.8028612, -81.269453)",17,14679
"Georgia Municipal Cemetery Association","Atlanta, Georgia","UChq_4HlWrpaIhozKkgS2LWA","(33.7496533, -84.39302839999999)",1,5824
"New Mexico House of Representatives","Santa Fe, New Mexico","UCIrMQ6ct5h9f2f6-_uZpNOw","(35.6821782, -105.9396627)",7,1259
"CityOfBeatriceNE","Beatrice, Nebraska","UCNqBm24raflfC7qGBgqLQbQ","(40.2659269, -96.7466913)",93,547113
"City of Maricopa","Maricopa, Arizona","UCcGYzD73sGc7P9gH6kZJC3A","(33.0581063, -112.0476423)",104,316325
"City of Las Vegas Government","Las Vegas, Nevada","UCH9xyXcOBq9hEEkkx9iaojw","(36.1674222, -115.1487183)",17,25476
"Falls Township PA","Fairless Hills, Pennsylvania","UCXkR2V1sBOCmVB3S5aHEjTA","(40.1740577, -74.8530595)",46,412289
"cityofminneapolis","Minneapolis, Minnesota","UC1IHi7mIMbFhZo4j_H6QIsA","(44.977753, -93.2650108)",48,446405
"City of Newark, Delaware","Newark, Delaware","UCkUa0_pCSXUlTQaeXLd73eA","(39.6837226, -75.74965720000002)",103,219589
"City of Concord NH","Concord, New Hampshire","UCDD8p5ZXUSNhW3_l8S78W5w","(43.2081366, -71.5375718)",13,8420
"City of Brentwood, TN","Brentwood, Tennessee","UCpy4tA7ME8ra38IDTTAXHVw","(36.0331164, -86.78277720000001)",34,10425
"City of Greeley Government","Greeley, Colorado","UCegM3TAyGPayKBUHIeQCv6w","(40.4261819, -104.6949673)",21,15063
"City of Monroe, Michigan","Monroe, Michigan","UCiO2fcMaMm-faFWMWNTcFIw","(41.9164343, -83.3977101)",7,29640
"City of Maplewood MN","Maplewood, Minnesota","UCFoyXqYAzbo9ieihH-08zAA","(44.9530215, -92.9952153)",62,57801
"Ada County, Idaho","Ada County, Idaho","UCmREyet73vxhBFCffWClEKA","(43.478767, -116.2420304)",19,161403
"City of Little Falls, MN","Little Falls, Minnesota","UCDJcQU_2dOXIixQEJzQ7_aQ","(45.9805556, -94.36944439999999)",38,250732
"City of Sioux City Council","Sioux City, Iowa","UCrekGAbOEqDvdzn9w8FAcoQ","(42.4965857, -96.40594519999999)",69,812481
"North Dakota AFL-CIO","Bismarck, North Dakota","UCNEsTdrFb3fgJBD_QzKr_ug","(46.803712, -100.771268)",2,2672
"Maryland Municipal League","Annapolis, Maryland","UCgG96iwVAdX7Y-RNL2u8pow","(38.9777014, -76.5132089)",24,8644
"SCCMOTV","St Charles County, Missouri","UClZsKsIKtPJkYwn1BtJgAFA","(38.7338885, -90.8294002)",402,844253
"City of Republic","Republic, Missouri","UCmvA973eokxbVlHVODl-1_A","(37.1200526, -93.4801942)",64,410465
"City of Middletown, Ohio","Middletown, Ohio","UCh-fZasNyuDxLyVxjmcaCIw","(39.5150576, -84.39827629999999)",13,92882
"Jersey City TV","Jersey City, New Jersey","UCdLHkxEC-vqQLcJ9URFSjxw","(40.70164740000001, -74.0954634)",1,21922
"Sacramento County District Attorney's Office","Sacramento, California","UCi0AEGcHEB460WW_VC1g6NA","(38.5841801, -121.4930305)",76,34892
"City of Greenville, NC","Greenville, North Carolina","UC3Ud91UVasbpi8wPVDlcCRA","(35.612661, -77.3663538)",375,302110
"Adams County CO Government","Brighton, Colorado","UC7KDbF1XykrYlxnfhEH5XVA","(39.9239028, -104.8126509)",361,942859
"Texas Municipal League Intergovernmental Risk Pool","Austin, Texas","UCCk9C8LXg9ncBGrFlog24Lg","(30.3316115, -97.6812044)",21,69203
"Dayton, Ohio - City Government","Dayton, Ohio","UC8upHquptA3gqvKO7qXZvIg","(39.75962, -84.194052)",1080,3005549
"City of Mesa","Mesa, Arizona","UCxhnbjW5_gD9I4gk_5t6-Aw","(33.4151843, -111.8314724)",190,243349
"City of Centerville, Ohio","Centerville, Ohio","UCXLOLKzXqOtD9BSlPGrDBHQ","(39.6283928, -84.15938179999999)",67,156724
"Kern Government Television","Kern County, California","UCmUJZiUo7nYq2x3IOnPqd5A","(35.4937274, -118.8596804)",185,1818059
"Vermillion City Council","Vermillion, South Dakota","UCuzkuhioz6Qycw2w7LVP6Bg","(42.7801475, -96.9313383)",3,22868
"City of Mt. Shasta, California","Mount Shasta, California","UC3RTHPMvubRfg1lMsXVKzNg","(41.3098746, -122.3105666)",10,3248
"Ottumwa Iowa","Ottumwa, Iowa","UCSPVpWJuu42NT03S9XgFFAA","(41.01602930000001, -92.40830220000001)",74,830866
"Macomb Board of Commissioners","Mount Clemens, Michigan","UCDhWnZ6RMvQWhRHVfanLBxw","(42.5963627, -82.8780386)",234,1814243
"Sunbury Videos","Sunbury, Pennsylvania","UCP6obhaxx_cy4JKoPwFLQ5g","(40.8618561, -76.7779541)",45,171510
"Town of Whitestown","Whitestown, Indiana","UCpbwXmmh-voRDSN3qtn5Hfw","(39.9972626, -86.3458296)",176,645435
"City of Boulder","Boulder, Colorado","UCAHm_LCXkzWpph_NDqZ0I4Q","(40.0149856, -105.2705456)",839,2055431
"City of Broken Arrow","Broken Arrow, Oklahoma","UCAOrvaXvUHojbjsEn72Y-Dw","(36.060949, -95.7974526)",2,1943
"Beaufort County NC Government","Washington, North Carolina","UCucOU3BykLPoXU2KjvX3CCg","(35.5432661, -77.0547823)",79,1026389
"Marion CountyFL","Marion County, Florida","UCmYgAek8oIGmMcZe_y0OGzw","(29.2787765, -82.12783999999999)",164,1628845
"Connecticut Conference of Municipalities","New Haven, Connecticut","UCjkAzQTiyYHKbBul87L2ygg","(41.297205, -72.9127429)",44,20117
"City of Florence, Kentucky","Florence, Kentucky","UCKAoTbCHbQPSIf80S5wYhlA","(38.9989499, -84.62661109999999)",32,152768
"City of Saratoga Springs","Saratoga Springs, Utah","UCL97Ck7JMecdpmZLudfVhPQ","(40.3301898, -111.9044877)",81,1072555
"City of Maple Valley - Official","Maple Valley, Washington","UCBOARNqj0-h6M0r0q8xgY-A","(47.3911867, -122.047031)",8,4409
"City of Parkersburg ,WV","Parkersburg, West Virginia","UCnB1o9IZ7LWLn6rcupcRlDw","(39.2667418, -81.56151349999999)",7,1109
"City of Clovis, NM","Clovis, New Mexico","UC3jy8DqeO4AA3GiB73JSyMQ","(34.4047987, -103.2052272)",6,8070
"Monroe North Carolina Government","Monroe, North Carolina","UCzrGKOKR72fmCEn7D0f9mlg","(35.0110269, -80.5447384)",14,54101
"CityPortStLucie","Port St. Lucie, Florida","UClq_tphDlSHirmsyLeHJiig","(27.2730492, -80.3582261)",2,8140
"CityofGenevaIL","Geneva, Illinois","UCobt6LRW-pMEmfGNVuy5NxA","(41.8875281, -88.3053525)",140,1126811
"City of Ferrysburg, MI","Ferrysburg, Michigan","UCMqr_ibvxyZlVajOzl-Tr3g","(43.08446199999999, -86.2203313)",10,75297
"Utah County Government","Provo, Utah","UCkRYDnXVDLGv9792bhWn9Wg","(40.2330328, -111.6568586)",69,826058
"ErieCountyNY","Erie County, New York","UC-bqfNQx5a6oFLVOX8kGeiw","(42.9023958, -78.8661589)",48,54007
"Bay Saint Louis City Council","Bay St Louis, Mississippi","UCfZVth2EfSBM4lVvXg_H-kw","(30.316913, -89.345498)",21,249595
"Cass County ND","Cass County, North Dakota","UC2YN9WLXQ0kjDXIwdcPYC9Q","(47.071168, -97.12155790000001)",6,1462
"CityofDestin","Destin, Florida","UCn_D1Iq1xxZhrkenq1d7EYA","(30.3935337, -86.4957833)",137,1126702
"San Diego County Water Authority","San Diego, California","UCbcVbucoGZmmZSHLKIHe8rg","(32.8255245, -117.1312866)",129,81730
"City of Rosemount, MN","Rosemount, Minnesota","UCHJ2l9oFLxFeDoISijWtNMQ","(44.7394103, -93.12577230000001)",2,8283
"Campbell County, Wyoming (Government)","Campbell County, Wyoming","UCl2KcXV1L_HJZlcZyxhapWw","(44.3956107, -105.4489183)",12,45758
"City of Columbia, TN","Columbia, Tennessee","UCjjZOwKcE8_lPi4KmbzoI0g","(35.616078, -87.03504699999999)",11,7071
"Oswego County Government","Oswego, New York","UC1ELFNINuYGu9umMYQoyKMg","(43.4576107, -76.50614279999999)",2,8430
"Maine Bureau of Human Resources","Augusta, Maine","UCu-W8zF89UHdxwvJbpx6esA","(44.30731979999999, -69.7828983)",4,1110
"PasadenaChannel","Pasadena, Texas","UC514B1OlciNW3q7lZU94PiA","(29.69137, -95.1843055)",77,57087
"WashCo Commissioners","Hagerstown, Maryland","UCTH850WDpvgeJXEI6Bp-nwg","(39.64347710000001, -77.72278229999999)",68,521067
"PittCountyNC","Pitt County, North Carolina","UCNbby4KXClggL9c-kVrpFww","(35.5589221, -77.4242972)",284,549269
"cityofokc","Oklahoma City, Oklahoma","UCu7sVASWMRZ6V6F7EebBlbA","(35.4675602, -97.5164276)",90,990425
"MtPleasantMI","Mount Pleasant, Michigan","UCbfjqB0HPkc6KHaQa4_zVgg","(43.59780749999999, -84.7675139)",50,252403
"Marin County, California - Topic","Marin County, California","UC7bWBURktSO66zx5c2_iKww","(38.083403, -122.7633036)",29,20882
"City of Oxnard Government - Official","Oxnard, California","UCyYBxLRP6z33lKEkyxreAUA","(34.2000543, -119.1802258)",18,15086
"City of Asheville","Asheville, North Carolina","UC2QG4OKWo8tQ-h3fAwxr4eg","(35.5950581, -82.5514869)",208,806049
"City of Corona","Corona, California","UC9_CEJrk_tnfVR7hyl6Kpwg","(33.8752935, -117.5664384)",2,2006
"City of Independence, Missouri","Independence, Missouri","UC95egG4Say-HvNrlJT_yCXg","(39.0911161, -94.41550679999999)",111,431599
"City of Old Town, Maine","Old Town, Maine","UCnnzsRkjzkSJQjzHjys6zGw","(44.9342349, -68.6453092)",78,453150
"City of Shenandoah, Texas","Shenandoah, Texas","UC5-9qrdkO9wip4I0vyCXq9g","(30.1802151, -95.45577259999999)",29,371792
"City of Newark NJ","Newark, New Jersey","UCNiGYwneyNvfAIAcl6eOqmw","(40.735657, -74.1723667)",79,102854
"City of San Angelo","San Angelo, Texas","UCg9JRjdLIq0ZTMHn1fioiJw","(31.4637723, -100.4370375)",92,917203
"Caribou, Maine","Caribou, Maine","UCunLIlhYrhdsdvfjRKYCYdQ","(46.8639995, -67.9980365)",75,489360
"Louisiana Municipal Association","Baton Rouge, Louisiana","UCHLSr4SUANCYoYEpQatv5UA","(30.4538341, -91.1798063)",3,1045
"The City of Irving","Irving, Texas","UCnakJoKIjNzMALPhHXxwFEA","(32.8140177, -96.9488945)",414,738800
"City of Mission Tx","Mission, Texas","UCha07JnlG0muI97kb9u0Iig","(26.2159066, -98.32529319999999)",85,164293
"Lee County FL","Lee County, Florida","UCSnQCEJdfUrobF9dxUltyyA","(26.6630286, -81.9534815)",44,18800
"Dane County Board of Supervisors","Madison, Wisconsin","UCgfH3y3SXmNkSZkjp7kCUdQ","(43.072422, -89.382392)",2,1126
"City of San Clemente","San Clemente, California","UCMJuEbFMmHeG8RBe-m6s7JQ","(33.4273521, -117.6126004)",84,1033782
"City of Warrenville","Warrenville, Illinois","UCcO8hN6YoUmWZrDFNASMzAQ","(41.81780699999999, -88.17340209999999)",84,701719
"New Jersey League of Municipalities","Trenton, New Jersey","UCbce9oVw9LvO6vxNz_89mZw","(40.2222399, -74.7735452)",13,11420
"City of Newberry","Newberry, Florida","UC9MNwMuigm3PeKHacwz2xQQ","(29.6463535, -82.6065023)",78,999022
"Kentucky League of Cities","Lexington, Kentucky","UCr7WAKemYwT87iELNQfcybQ","(38.045112, -84.49808999999999)",28,38552
"Council Meetings - City of Rochester Hills","Rochester, Michigan","UCRzGsdrhFdimra0g1Gw4HqA","(42.6833372, -83.1372157)",17,296862
"LakeCountyTV","Round Lake Beach, Illinois","UCnKKNni9P9HgvUhNlszYu4w","(42.3785576, -88.0857913)",13,8322
"City Channel 4 - Iowa City","Iowa City, Iowa","UCDfQkGRr6dgTs07YZdCUH_g","(41.6609059, -91.5315148)",684,2953891
"Town of Chester, NY","Chester, New York","UCcfUBNLL64j3sKxfuxTtcog","(41.3625937, -74.27126129999999)",30,251787
"TownofCohasset","Cohasset, Massachusetts","UCtPH47tVZoFwqFm8nN7JrMw","(42.24176749999999, -70.8036544)",32,503121
"austintexasgov","Austin, Texas","UCa6J9IdgL8Lir6YIQNsbkgQ","(30.2671108, -97.7352672)",45,32181
"City of Springdale, Arkansas","Springdale, Arkansas","UCDBXZsuggNDRY1QTEqH2MQg","(36.18674420000001, -94.1288141)",83,786569
"City of Anderson, Indiana","Anderson, Indiana","UCMDJQTb1x8xHky-Jxmu8PIA","(40.1053196, -85.6802541)",149,352603
"CityofPhoenixAZ","Phoenix, Arizona","UCx7FQNzOFCbtExt_gRub9JQ","(33.4483771, -112.0740373)",1107,3582667
"City of Victoria, MN","Victoria, Minnesota","UCx9xeLv6v0F0bMzK1BxMEzQ","(44.8587227, -93.6615338)",12,81355
"City of Horace","Horace, North Dakota","UCHdzO6P-1enZkMG7Z87QdGA","(46.7588553, -96.9036971)",42,430262
"City of Charlotte","Charlotte, North Carolina","UCr8xW9jfl6OiwjQuRwX4bWQ","(35.2270869, -80.8431267)",84,474547
"Surprise TV","Surprise, Arizona","UChvREiqh2Lc3HoTGqcPb3vg","(33.6297375, -112.3654922)",144,240296
"ConnecticutNetworkTV","Hartford, Connecticut","UC5i71kM8tvpFKG60XyLLRMA","(41.7584274, -72.67567740000001)",14,8030
"eGov PDX","Portland, Oregon","UCcPIUh7CWwtBXisMPHWG65g","(45.5122308, -122.6587185)",24,422860
"City of Hendersonville, TN","Hendersonville, Tennessee","UCy-XOO0Miyy8QIuE4B4fRuA","(36.3047735, -86.6199957)",79,915301
"James City County","James City County, Virginia","UC1YcYMSX__2VbO2Mi3udVRw","(37.3002132, -76.8028933)",159,547960
"CityOfGreenBay","Green Bay, Wisconsin","UCd0WTidHx2LPWIJY-xrH9eg","(44.5133188, -88.0132958)",338,2453873
"City Channel Columbia MO","Columbia, Missouri","UCMvapUGDpxyLUUWNO8fxkdA","(38.9517053, -92.3340724)",177,193834
"Pennsylvania Youth and Government","White Haven, Pennsylvania","UCcBuZVx4F52Dm_i2btUngFA","(41.0268556, -75.7135563)",33,21249
"Eagle Mountain City, Utah","Eagle Mountain, Utah","UCE6PWygb_g-qDncu6tkhU-g","(40.31411689999999, -112.006882)",78,928360
"syracuse.com","Syracuse, New York","UChbYn187BlBxq5LfGqZSv_A","(43.0481221, -76.14742439999999)",107,47840
"Spring Hill","Spring Hill, Tennessee","UCQEXn0j-fLqffqG4s6QBFfQ","(35.751179, -86.9300023)",14,19491
"City of Rio Rancho, NM Municipal Government","Rio Rancho, New Mexico","UCQbt-un8dQITuiIRLcbtq8Q","(35.3109281, -106.6850204)",19,27715
"City of Fairhope","Fairhope, Alabama","UCQsD9rKnDZ7Fik7D22bI0gw","(30.5229719, -87.9033261)",182,1923680
"City of Santa Clara","Santa Clara, California","UCBMGaWSyRhcGxg0fSG4msDA","(37.3541079, -121.9552356)",115,1274012
"City of Alice, TX","Alice, Texas","UC_9x9G-IMyGx4zPHxawQr5A","(27.7522487, -98.0697249)",84,727211
"Contra Costa Television","Martinez, California","UCD1z6XC8_fqZXP3HayI-kQA","(37.9952189, -122.1220089)",57,402042
"City of Bloomington, Illinois","Bloomington, Illinois","UCS8WR70NFd2XMmFYRDHEGEw","(40.4842027, -88.99368729999999)",98,1165334
"Hillsborough County","Hillsborough County, Florida","UC-ltrT7T2PDRdEEoU5NtOEg","(27.9903597, -82.3017728)",70,39574
"City of Austin, Minnesota","Austin, Minnesota","UCz8RVD73YkHomdRrT_5LBwQ","(43.6666296, -92.97463669999999)",97,81298
"Maryland YMCA Youth & Government","Gwynn Oak, Maryland","UCC0szOnY50huTkcp1kqB3Rg","(39.326126, -76.6837006)",1,1703
"Town of Orangetown","Orangetown, New York","UCiO7szhtu7X___gRqoFkuOg","(41.0555461, -73.94773839999999)",24,160102
"City of San Antonio","San Antonio, Texas","UCc1cljyxKwZYVnDapMi26eQ","(29.4241219, -98.49362819999999)",184,142702
"City of Grand Marais","Grand Marais, Minnesota","UC8OF_XBXW9WJuCZEIzxSlIQ","(47.7504469, -90.3342727)",18,233692
"NYC Mayor's Office","New York, New York","UClnI1zhyzv_BPb-VSHEtniw","(40.7133871, -74.00743609999999)",852,3698787
"SCCGov Chambers","Santa Clara County, California","UCF4DoI6Shq5PtVGaQRrAerw","(37.3336581, -121.8907041)",11,152126
"CityOfNormanOK","Norman, Oklahoma","UCRUefgW2qlHl6uJwIS7KQXQ","(35.2225668, -97.4394777)",71,311789
"Lebanon, Indiana","Lebanon, Indiana","UCr7VceVqyRwrsJEhejJinGQ","(40.0483744, -86.4691677)",5,8738
"Texas Counties","Austin, Texas","UCypcad6NCCz1KNAkygXmNzA","(30.2762229, -97.74499279999999)",135,162730
"Bellevue Television","Bellevue, Washington","UCW22suSoHWumwarCbu3NkOg","(47.60455899999999, -122.1305799)",3,2281
"Sullivan County NY Government","Monticello, New York","UC-6KnDAiuQEnDNWO13Ev1sw","(41.6584571, -74.6917748)",26,19938
"Saint Francis MN","St Francis, Minnesota","UCC44uGV-mS_2SCvUhBy_scA","(45.3974847, -93.38792199999999)",53,378531
"warren-ma.info","Warren, Massachusetts","UCSemWSWv9vohWfvvyHaYAlA","(42.2125423, -72.19118499999999)",10,46576
"LitchfieldTV","Litchfield, New Hampshire","UCghq7fALfNAB53QKWlOyScw","(42.8420373, -71.4807697)",266,2228320
"Hennepin County MN","Hennepin County, Minnesota","UCJDcgrMl0B2Og4ZdeOOrnFA","(45.0208911, -93.5094574)",56,50713
"FaithCity MD","Upper Marlboro, Maryland","UC3cUrijYglWHJ81RrZ_jNUw","(38.8354067, -76.8628623)",29,303648
"Montana YMCA Youth and Government","Montana, US","UCTcNqEsmDnz8dAb1DUv40eg","(46.8796822, -110.3625658)",8,29806
"LA City Emergency Management","Los Angeles, California","UChO9l1ByinQ7u1epchCv3vg","(34.0505911, -118.1763924)",11,5737
