,channel_name,location,channel_id,lat_long2,no_videos,wordcount,mean_syl_sec
0,Ownby US/VA Government,"Richmond, Virginia",UCMJ9hCPzPs_DiPcX-GQEjZw,"(37.5633011, -77.4569801)",4,1478,6.5890191800288855
1,Florida Government,"St. Petersburg, Florida",UCy9172bFY8usKzYt_KQGBJw,"(27.7739864, -82.64083219999999)",4,3140,5.8768404686809825
2,Pennsylvania Municipal League,"Harrisburg, Pennsylvania",UC4XZkKTzJb1Mn4PBweUcP6Q,"(40.2627665, -76.8867669)",32,14796,5.66117322758629
3,Town of Wiggins,"Wiggins, Colorado",UCLfzJYfsilF0D3dQGKMpGbw,"(40.2305363, -104.0727278)",19,319767,5.569556813700456
4,"Orange County, NY Government","Orange County, New York",UCU3TVLdskRq8PPcLuNugy1A,"(41.3911653, -74.3118212)",2,12876,5.568528034151244
5,Greenville Wisconsin,"Greenville, Wisconsin",UCJdbHHH0GVrnrLQ2P5rsy9Q,"(44.3002628, -88.53649539999999)",32,103818,5.556118888512854
6,News Now Colorado,"Colorado Springs, Colorado",UCmQIlF7oc5d4MFoqCLYWxrA,"(38.841051, -104.739221)",16,15606,5.54658947621471
7,Prince George's County Government,"Upper Marlboro, Maryland",UCO2d1EtrwB-VuFJAOxsApLg,"(38.8180043, -76.7508472)",1,14954,5.54460142617823
8,"City of Lewiston, ME","Lewiston, Maine",UCprFi23oI7DclYQ8kxx_mmQ,"(44.100351, -70.21477639999999)",14,17614,5.533315189881638
9,CityofDurhamNC,"Durham, North Carolina",UCHUDjJ4VIFaf3a9ap9s5qEA,"(35.9940329, -78.898619)",225,403093,5.510995490892958
10,CityOfTitusville,"Titusville, Florida",UCvQPDngBunvcPZsioiJuQ_g,"(28.6122187, -80.8075537)",10,10104,5.5058702776261566
11,Orange County North Carolina Video,"Hillsborough, North Carolina",UCWv68m-BGtw4OBxzOMB8fnQ,"(36.0741901, -79.0808665)",38,27582,5.494132029011131
12,CO Pearland,"Pearland, Texas",UCRAyWlB2d1XLCJ8SHH8xyxQ,"(29.5434205, -95.2225551)",31,10862,5.490061417754435
13,Illinois Youth & Government,"Downers Grove, Illinois",UCpPYpbakFJmcoyhF-9mersw,"(41.8330175, -88.01940429999999)",7,7989,5.484223686233998
14,City of Mt. Pulaski,"Mount Pulaski, Illinois",UCUGntHxJMcrkLQTsfMI0eaw,"(40.0108767, -89.282314)",8,27614,5.4753520292608595
15,"City of Portage, WI","Portage, Wisconsin",UC1js1AsdSXS9xpPGeQDfHSQ,"(43.5391486, -89.46262019999999)",8,2276,5.465592391895587
16,Montana Municipal Interlocal Authority,"Helena, Montana",UCTJLv2_9DzbmeSdMrqOzHYQ,"(46.616824, -112.030694)",3,2189,5.454412286309349
17,"City of Ammon, Idaho","Ammon, Idaho",UC9fNsA0JthGQ7mD8wB7FJXQ,"(43.4696366, -111.9666355)",1,1043,5.444525815933273
18,"Lake County, FL - Government","Tavares, Florida",UCd3YB4jmtmtKA1VkRXw33aQ,"(28.801728, -81.72981)",26,9014,5.438373981222266
19,"Apache County, AZ","Apache County, Arizona",UC2nB5nlo3B_zC-BapdrSE5A,"(35.5313224, -109.3783206)",2,12643,5.435305879548029
20,Utah Office of the State Auditor Local Government Division,"Salt Lake City, Utah",UC_zj1HbPzVfj5hzv89KCu6w,"(40.7775314, -111.8878716)",6,1611,5.432779471485773
21,Green Government Montgomery County MD,"Bethesda, Maryland",UCvrndKse0tZwqiF70tW7m_w,"(38.9850174, -77.08889719999999)",9,3923,5.4320162035915684
22,League of Minnesota Cities,"St Paul, Minnesota",UC7dPiX83ITyP5YJokRKC8rw,"(44.95609, -93.10669)",16,8733,5.425508953732058
23,NM Youth And Government,"Albuquerque, New Mexico",UC6ZG3Yjs3LoQnRtvrbZ0gYg,"(35.1116958, -106.6320615)",4,4842,5.411983542283572
24,City of El Paso Texas,"El Paso, Texas",UCwYdX-cXdg609Ppl8Bjq07g,"(31.7618778, -106.4850217)",27,92219,5.411660228635675
25,"City of Gravette, Arkansas - Official","Gravette, Arkansas",UC5L-KVG-9wiBtZRebmjX5pQ,"(36.4220207, -94.4535484)",3,1067,5.411570943275741
26,"City of Jacksonville, Florida","Jacksonville, Florida",UCDz1-m1rzglGoYCHG-yTLaA,"(30.3321838, -81.65565099999999)",7,5902,5.4018353557491565
27,City of Woodbury MN,"Woodbury, Minnesota",UCDsJCsK3YLLVgRbg34kABMA,"(44.9238552, -92.9593797)",312,240156,5.401293384499612
28,Oklahoma Municipal League,"Oklahoma City, Oklahoma",UCq709y5jiSJf5sPulXKoXww,"(35.493524, -97.507459)",11,3655,5.401276928648693
29,City of Milwaukie Oregon,"Milwaukie, Oregon",UCRFbfqe3OnDWLQKSB_m9cAw,"(45.4465323, -122.6323315)",8,8091,5.390803794265695
30,"County of El Paso, Texas Commissioners Court Public Meetings","El Paso, Texas",UC-2RxYOS6Y6VkDlp5eM0OLA,"(31.7582637, -106.4841176)",52,725858,5.39037758293489
31,"City of Sanford, FL","Sanford, Florida",UCrOGg6n2Qjw6yujcrwc0Z3g,"(28.8028612, -81.269453)",17,14679,5.38953605013386
32,Georgia Municipal Cemetery Association,"Atlanta, Georgia",UChq_4HlWrpaIhozKkgS2LWA,"(33.7496533, -84.39302839999999)",1,5824,5.388513314606231
33,New Mexico House of Representatives,"Santa Fe, New Mexico",UCIrMQ6ct5h9f2f6-_uZpNOw,"(35.6821782, -105.9396627)",7,1259,5.387270093695534
34,CityOfBeatriceNE,"Beatrice, Nebraska",UCNqBm24raflfC7qGBgqLQbQ,"(40.2659269, -96.7466913)",93,547113,5.38516003622256
35,City of Maricopa,"Maricopa, Arizona",UCcGYzD73sGc7P9gH6kZJC3A,"(33.0581063, -112.0476423)",104,316325,5.379249799419055
36,City of Las Vegas Government,"Las Vegas, Nevada",UCH9xyXcOBq9hEEkkx9iaojw,"(36.1674222, -115.1487183)",17,25476,5.375077131874134
37,Falls Township PA,"Fairless Hills, Pennsylvania",UCXkR2V1sBOCmVB3S5aHEjTA,"(40.1740577, -74.8530595)",46,412289,5.3726432582944685
38,cityofminneapolis,"Minneapolis, Minnesota",UC1IHi7mIMbFhZo4j_H6QIsA,"(44.977753, -93.2650108)",48,446405,5.367635232775882
39,"City of Newark, Delaware","Newark, Delaware",UCkUa0_pCSXUlTQaeXLd73eA,"(39.6837226, -75.74965720000002)",103,219589,5.366111547503078
40,City of Concord NH,"Concord, New Hampshire",UCDD8p5ZXUSNhW3_l8S78W5w,"(43.2081366, -71.5375718)",13,8420,5.362857166339627
41,"City of Brentwood, TN","Brentwood, Tennessee",UCpy4tA7ME8ra38IDTTAXHVw,"(36.0331164, -86.78277720000001)",34,10425,5.362366518398329
42,City of Greeley Government,"Greeley, Colorado",UCegM3TAyGPayKBUHIeQCv6w,"(40.4261819, -104.6949673)",21,15063,5.3610194776390205
43,"City of Monroe, Michigan","Monroe, Michigan",UCiO2fcMaMm-faFWMWNTcFIw,"(41.9164343, -83.3977101)",7,29640,5.358905740083311
44,City of Maplewood MN,"Maplewood, Minnesota",UCFoyXqYAzbo9ieihH-08zAA,"(44.9530215, -92.9952153)",62,57801,5.350026193059334
45,"Ada County, Idaho","Ada County, Idaho",UCmREyet73vxhBFCffWClEKA,"(43.478767, -116.2420304)",19,161403,5.342027063853683
46,"City of Little Falls, MN","Little Falls, Minnesota",UCDJcQU_2dOXIixQEJzQ7_aQ,"(45.9805556, -94.36944439999999)",38,250732,5.335483518310886
47,City of Sioux City Council,"Sioux City, Iowa",UCrekGAbOEqDvdzn9w8FAcoQ,"(42.4965857, -96.40594519999999)",69,812481,5.333825694418503
48,North Dakota AFL-CIO,"Bismarck, North Dakota",UCNEsTdrFb3fgJBD_QzKr_ug,"(46.803712, -100.771268)",2,2672,5.3335369712328715
49,Maryland Municipal League,"Annapolis, Maryland",UCgG96iwVAdX7Y-RNL2u8pow,"(38.9777014, -76.5132089)",24,8644,5.328543072869783
50,SCCMOTV,"St Charles County, Missouri",UClZsKsIKtPJkYwn1BtJgAFA,"(38.7338885, -90.8294002)",402,844253,5.3275856280175695
51,City of Republic,"Republic, Missouri",UCmvA973eokxbVlHVODl-1_A,"(37.1200526, -93.4801942)",64,410465,5.324725721246625
52,"City of Middletown, Ohio","Middletown, Ohio",UCh-fZasNyuDxLyVxjmcaCIw,"(39.5150576, -84.39827629999999)",13,92882,5.324414131346251
53,Jersey City TV,"Jersey City, New Jersey",UCdLHkxEC-vqQLcJ9URFSjxw,"(40.70164740000001, -74.0954634)",1,21922,5.322197828382601
54,Sacramento County District Attorney's Office,"Sacramento, California",UCi0AEGcHEB460WW_VC1g6NA,"(38.5841801, -121.4930305)",76,34892,5.320322367503587
55,"City of Greenville, NC","Greenville, North Carolina",UC3Ud91UVasbpi8wPVDlcCRA,"(35.612661, -77.3663538)",375,302110,5.31734841528392
56,Adams County CO Government,"Brighton, Colorado",UC7KDbF1XykrYlxnfhEH5XVA,"(39.9239028, -104.8126509)",361,942859,5.31710017789069
57,Texas Municipal League Intergovernmental Risk Pool,"Austin, Texas",UCCk9C8LXg9ncBGrFlog24Lg,"(30.3316115, -97.6812044)",21,69203,5.311845137612722
58,"Dayton, Ohio - City Government","Dayton, Ohio",UC8upHquptA3gqvKO7qXZvIg,"(39.75962, -84.194052)",1080,3005549,5.3105340145292255
59,City of Mesa,"Mesa, Arizona",UCxhnbjW5_gD9I4gk_5t6-Aw,"(33.4151843, -111.8314724)",190,243349,5.3095708162145625
60,"City of Centerville, Ohio","Centerville, Ohio",UCXLOLKzXqOtD9BSlPGrDBHQ,"(39.6283928, -84.15938179999999)",67,156724,5.3033347627443055
61,Kern Government Television,"Kern County, California",UCmUJZiUo7nYq2x3IOnPqd5A,"(35.4937274, -118.8596804)",185,1818059,5.2998969023096825
62,Vermillion City Council,"Vermillion, South Dakota",UCuzkuhioz6Qycw2w7LVP6Bg,"(42.7801475, -96.9313383)",3,22868,5.298753476166681
63,Alaska Department of Fish and Game,"Juneau, Alaska",UCuWzmB-DTkJ5QKz-SQj6ioQ,"(58.299325, -134.4246039)",10,11487,5.293348725555264
64,"City of Mt. Shasta, California","Mount Shasta, California",UC3RTHPMvubRfg1lMsXVKzNg,"(41.3098746, -122.3105666)",10,3248,5.289486484875275
65,Ottumwa Iowa,"Ottumwa, Iowa",UCSPVpWJuu42NT03S9XgFFAA,"(41.01602930000001, -92.40830220000001)",74,830866,5.2877732956946115
66,Macomb Board of Commissioners,"Mount Clemens, Michigan",UCDhWnZ6RMvQWhRHVfanLBxw,"(42.5963627, -82.8780386)",234,1814243,5.287618495298121
67,Sunbury Videos,"Sunbury, Pennsylvania",UCP6obhaxx_cy4JKoPwFLQ5g,"(40.8618561, -76.7779541)",45,171510,5.285191047150751
68,Town of Whitestown,"Whitestown, Indiana",UCpbwXmmh-voRDSN3qtn5Hfw,"(39.9972626, -86.3458296)",176,645435,5.283922443930001
69,City of Boulder,"Boulder, Colorado",UCAHm_LCXkzWpph_NDqZ0I4Q,"(40.0149856, -105.2705456)",839,2055431,5.283545301153173
70,City of Broken Arrow,"Broken Arrow, Oklahoma",UCAOrvaXvUHojbjsEn72Y-Dw,"(36.060949, -95.7974526)",2,1943,5.28351918690079
71,Beaufort County NC Government,"Washington, North Carolina",UCucOU3BykLPoXU2KjvX3CCg,"(35.5432661, -77.0547823)",79,1026389,5.28105137587029
72,Marion CountyFL,"Marion County, Florida",UCmYgAek8oIGmMcZe_y0OGzw,"(29.2787765, -82.12783999999999)",164,1628845,5.28091906165565
73,Connecticut Conference of Municipalities,"New Haven, Connecticut",UCjkAzQTiyYHKbBul87L2ygg,"(41.297205, -72.9127429)",44,20117,5.2763597710446035
74,"City of Florence, Kentucky","Florence, Kentucky",UCKAoTbCHbQPSIf80S5wYhlA,"(38.9989499, -84.62661109999999)",32,152768,5.276107784003046
75,City of Saratoga Springs,"Saratoga Springs, Utah",UCL97Ck7JMecdpmZLudfVhPQ,"(40.3301898, -111.9044877)",81,1072555,5.270950442533875
76,City of Maple Valley - Official,"Maple Valley, Washington",UCBOARNqj0-h6M0r0q8xgY-A,"(47.3911867, -122.047031)",8,4409,5.268092323875034
77,"City of Parkersburg ,WV","Parkersburg, West Virginia",UCnB1o9IZ7LWLn6rcupcRlDw,"(39.2667418, -81.56151349999999)",7,1109,5.266690312441057
78,"City of Clovis, NM","Clovis, New Mexico",UC3jy8DqeO4AA3GiB73JSyMQ,"(34.4047987, -103.2052272)",6,8070,5.26399648235045
79,Monroe North Carolina Government,"Monroe, North Carolina",UCzrGKOKR72fmCEn7D0f9mlg,"(35.0110269, -80.5447384)",14,54101,5.262451624595405
80,CityPortStLucie,"Port St. Lucie, Florida",UClq_tphDlSHirmsyLeHJiig,"(27.2730492, -80.3582261)",2,8140,5.261761727169217
81,CityofGenevaIL,"Geneva, Illinois",UCobt6LRW-pMEmfGNVuy5NxA,"(41.8875281, -88.3053525)",140,1126811,5.261257859203514
82,"City of Ferrysburg, MI","Ferrysburg, Michigan",UCMqr_ibvxyZlVajOzl-Tr3g,"(43.08446199999999, -86.2203313)",10,75297,5.259574594747179
83,Utah County Government,"Provo, Utah",UCkRYDnXVDLGv9792bhWn9Wg,"(40.2330328, -111.6568586)",69,826058,5.256984626888201
84,ErieCountyNY,"Erie County, New York",UC-bqfNQx5a6oFLVOX8kGeiw,"(42.9023958, -78.8661589)",48,54007,5.256698515276425
85,Bay Saint Louis City Council,"Bay St Louis, Mississippi",UCfZVth2EfSBM4lVvXg_H-kw,"(30.316913, -89.345498)",21,249595,5.256246206643506
86,Cass County ND,"Cass County, North Dakota",UC2YN9WLXQ0kjDXIwdcPYC9Q,"(47.071168, -97.12155790000001)",6,1462,5.252012343441309
87,CityofDestin,"Destin, Florida",UCn_D1Iq1xxZhrkenq1d7EYA,"(30.3935337, -86.4957833)",137,1126702,5.251719578357565
88,San Diego County Water Authority,"San Diego, California",UCbcVbucoGZmmZSHLKIHe8rg,"(32.8255245, -117.1312866)",129,81730,5.2515552259636085
89,"City of Rosemount, MN","Rosemount, Minnesota",UCHJ2l9oFLxFeDoISijWtNMQ,"(44.7394103, -93.12577230000001)",2,8283,5.251036757890796
90,"Campbell County, Wyoming (Government)","Campbell County, Wyoming",UCl2KcXV1L_HJZlcZyxhapWw,"(44.3956107, -105.4489183)",12,45758,5.250747963322204
91,"City of Columbia, TN","Columbia, Tennessee",UCjjZOwKcE8_lPi4KmbzoI0g,"(35.616078, -87.03504699999999)",11,7071,5.25010970015607
92,Oswego County Government,"Oswego, New York",UC1ELFNINuYGu9umMYQoyKMg,"(43.4576107, -76.50614279999999)",2,8430,5.247917987431075
93,DCRA Alaska,"Anchorage, Alaska",UCFSTJMeEaFAZloRXttusWtA,"(61.215319, -149.8929102)",16,14603,5.247583886681158
94,Maine Bureau of Human Resources,"Augusta, Maine",UCu-W8zF89UHdxwvJbpx6esA,"(44.30731979999999, -69.7828983)",4,1110,5.246710189513039
95,PasadenaChannel,"Pasadena, Texas",UC514B1OlciNW3q7lZU94PiA,"(29.69137, -95.1843055)",77,57087,5.246603827144779
96,WashCo Commissioners,"Hagerstown, Maryland",UCTH850WDpvgeJXEI6Bp-nwg,"(39.64347710000001, -77.72278229999999)",68,521067,5.245028446085151
97,PittCountyNC,"Pitt County, North Carolina",UCNbby4KXClggL9c-kVrpFww,"(35.5589221, -77.4242972)",284,549269,5.24424879964033
98,cityofokc,"Oklahoma City, Oklahoma",UCu7sVASWMRZ6V6F7EebBlbA,"(35.4675602, -97.5164276)",90,990425,5.2426338595562045
99,MtPleasantMI,"Mount Pleasant, Michigan",UCbfjqB0HPkc6KHaQa4_zVgg,"(43.59780749999999, -84.7675139)",50,252403,5.24254989108888
100,"Marin County, California - Topic","Marin County, California",UC7bWBURktSO66zx5c2_iKww,"(38.083403, -122.7633036)",29,20882,5.242488918920789
101,City of Oxnard Government - Official,"Oxnard, California",UCyYBxLRP6z33lKEkyxreAUA,"(34.2000543, -119.1802258)",18,15086,5.242302355598579
102,City of Asheville,"Asheville, North Carolina",UC2QG4OKWo8tQ-h3fAwxr4eg,"(35.5950581, -82.5514869)",208,806049,5.242088306225826
103,City of Corona,"Corona, California",UC9_CEJrk_tnfVR7hyl6Kpwg,"(33.8752935, -117.5664384)",2,2006,5.241451942644144
104,"City of Independence, Missouri","Independence, Missouri",UC95egG4Say-HvNrlJT_yCXg,"(39.0911161, -94.41550679999999)",111,431599,5.238594477153721
105,"City of Old Town, Maine","Old Town, Maine",UCnnzsRkjzkSJQjzHjys6zGw,"(44.9342349, -68.6453092)",78,453150,5.238176370965172
106,"City of Shenandoah, Texas","Shenandoah, Texas",UC5-9qrdkO9wip4I0vyCXq9g,"(30.1802151, -95.45577259999999)",29,371792,5.238099024744805
107,City of Newark NJ,"Newark, New Jersey",UCNiGYwneyNvfAIAcl6eOqmw,"(40.735657, -74.1723667)",79,102854,5.237514922969292
108,City of San Angelo,"San Angelo, Texas",UCg9JRjdLIq0ZTMHn1fioiJw,"(31.4637723, -100.4370375)",92,917203,5.2370270712654845
109,"Caribou, Maine","Caribou, Maine",UCunLIlhYrhdsdvfjRKYCYdQ,"(46.8639995, -67.9980365)",75,489360,5.234480574275044
110,Louisiana Municipal Association,"Baton Rouge, Louisiana",UCHLSr4SUANCYoYEpQatv5UA,"(30.4538341, -91.1798063)",3,1045,5.233565883407667
111,The City of Irving,"Irving, Texas",UCnakJoKIjNzMALPhHXxwFEA,"(32.8140177, -96.9488945)",414,738800,5.233450726732923
112,City of Mission Tx,"Mission, Texas",UCha07JnlG0muI97kb9u0Iig,"(26.2159066, -98.32529319999999)",85,164293,5.232575635294676
113,Lee County FL,"Lee County, Florida",UCSnQCEJdfUrobF9dxUltyyA,"(26.6630286, -81.9534815)",44,18800,5.231631719868885
114,Dane County Board of Supervisors,"Madison, Wisconsin",UCgfH3y3SXmNkSZkjp7kCUdQ,"(43.072422, -89.382392)",2,1126,5.2282457856504205
115,City of San Clemente,"San Clemente, California",UCMJuEbFMmHeG8RBe-m6s7JQ,"(33.4273521, -117.6126004)",84,1033782,5.228096622727715
116,City of Warrenville,"Warrenville, Illinois",UCcO8hN6YoUmWZrDFNASMzAQ,"(41.81780699999999, -88.17340209999999)",84,701719,5.228011986911496
117,New Jersey League of Municipalities,"Trenton, New Jersey",UCbce9oVw9LvO6vxNz_89mZw,"(40.2222399, -74.7735452)",13,11420,5.227592660522204
118,City of Newberry,"Newberry, Florida",UC9MNwMuigm3PeKHacwz2xQQ,"(29.6463535, -82.6065023)",78,999022,5.227357713846032
119,Kentucky League of Cities,"Lexington, Kentucky",UCr7WAKemYwT87iELNQfcybQ,"(38.045112, -84.49808999999999)",28,38552,5.2264731972496135
120,Council Meetings - City of Rochester Hills,"Rochester, Michigan",UCRzGsdrhFdimra0g1Gw4HqA,"(42.6833372, -83.1372157)",17,296862,5.226213869043862
121,LakeCountyTV,"Round Lake Beach, Illinois",UCnKKNni9P9HgvUhNlszYu4w,"(42.3785576, -88.0857913)",13,8322,5.224744671994708
122,City Channel 4 - Iowa City,"Iowa City, Iowa",UCDfQkGRr6dgTs07YZdCUH_g,"(41.6609059, -91.5315148)",684,2953891,5.224640653680043
123,"Town of Chester, NY","Chester, New York",UCcfUBNLL64j3sKxfuxTtcog,"(41.3625937, -74.27126129999999)",30,251787,5.223273329771778
124,TownofCohasset,"Cohasset, Massachusetts",UCtPH47tVZoFwqFm8nN7JrMw,"(42.24176749999999, -70.8036544)",32,503121,5.220615374585233
125,austintexasgov,"Austin, Texas",UCa6J9IdgL8Lir6YIQNsbkgQ,"(30.2671108, -97.7352672)",45,32181,5.219766983078498
126,"City of Springdale, Arkansas","Springdale, Arkansas",UCDBXZsuggNDRY1QTEqH2MQg,"(36.18674420000001, -94.1288141)",83,786569,5.2182832403913135
127,"City of Anderson, Indiana","Anderson, Indiana",UCMDJQTb1x8xHky-Jxmu8PIA,"(40.1053196, -85.6802541)",149,352603,5.216593231944929
128,CityofPhoenixAZ,"Phoenix, Arizona",UCx7FQNzOFCbtExt_gRub9JQ,"(33.4483771, -112.0740373)",1107,3582667,5.216569465558917
